"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.079,0.75,0.97,29,26,16,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,1.75758954018991,19.7369972293968,15.0429782543923,"<","<","<",">",">",">"
0.079,0.75,0.97,29,26,16,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,-12.2797450819747,13.3345534766168,19.352164298833,"<","<","<",">",">",">"
0.5,0.56,0.88,11,26,13,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,5.02753478178319,14.2587698989205,10.1164265018192,"<","<","<","=","<",">"
0.5,0.56,0.88,11,26,13,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,9.02109701671851,-34.8016648493289,29.4121653430589,"<","<","<","<","<",">"
0.68,0.047,0.62,17,11,24,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,3,12.1731107249237,0.480740964413959,15.7679351834036,">",">","<",">","<","<"
0.68,0.047,0.62,17,11,24,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,1,12.5838443635528,-8.430175328719,-10.802625324776,">",">","<",">","<","<"
0.45,0.55,0.6,30,23,11,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,11.6493834391622,14.8638707867463,6.8091553586211,"<","<","<",">",">",">"
0.45,0.55,0.6,30,23,11,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,0.698167810728149,44.9473052348296,0.809960620705124,"<","<","=",">",">",">"
0.3,0.35,0.47,27,18,13,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,8.53004858062043,6.24117441261312,4.19468462610023,"<","<","<",">",">","="
0.3,0.35,0.47,27,18,13,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,25.547431335398,24.4658147189822,10.4792074881495,"<","<","<",">",">",">"
0.97,0.43,0.71,11,27,15,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,13.0320460276421,9.96126841543878,8.39670551764948,">",">","<","<","<",">"
0.97,0.43,0.71,11,27,15,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,14.0084468597918,11.7581547994034,-15.9775891083843,">",">","<","<","<","<"
0.76,0.42,0.62,11,27,13,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,9.4921312161201,10.1908703240915,7.45907107682998,">",">",">","<","<",">"
0.76,0.42,0.62,11,27,13,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,-7.00906617539742,31.3969898157886,-9.46322053869389,">",">","<","<","<","="
0.77,0.9,0.91,23,17,12,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,17.0257199525697,13.5803457313025,10.6407041466835,"<",">","<",">",">",">"
0.77,0.9,0.91,23,17,12,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,5.50586380218027,16.2274148115071,-12.6304839903728,"<","<","<",">",">",">"
0.77,0.81,0.9,29,24,19,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,21.554774731571,20.1572788994025,16.7148828140205,"<","<","<",">",">",">"
0.77,0.81,0.9,29,24,19,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,31.506166325164,23.7526071906069,1.76265248613261,"<","<","<",">",">",">"
0.59,0.61,0.85,11,23,13,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,5.72853526743622,13.9954971533771,10.0019672597114,"<","<","<","<","<",">"
0.59,0.61,0.85,11,23,13,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,7.96303885004879,37.5109082522011,17.9735551085793,"<","<","<","<","<",">"
0.64,0.9,0.93,17,28,22,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,9.56683892028,28.3436410737449,20.9410254281399,"<","<","<","<","<",">"
0.64,0.9,0.93,17,28,22,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,21.4557195720667,35.4257819055025,54.653223484283,"<","<","<","<","<",">"
0.31,0.42,0.29,20,11,27,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,3,5.22362960071729,4.300531722055,7.17384154283448,"<",">",">",">","<","<"
0.31,0.42,0.29,20,11,27,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,-44.0859647646565,23.3686214940873,11.6728900683968,"<",">",">",">",">","<"
0.29,0.64,0.86,12,22,14,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,3.66560522965507,14.4389872146262,13.447107052426,"<","<","<","<","<",">"
0.29,0.64,0.86,12,22,14,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,-20.2948986920947,15.7104009100005,10.9996725916713,"<","<","<","<","<",">"
0.44,0.96,0.012,23,13,21,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,13.2166439919444,11.7276671813224,0.891778284813154,"<",">",">",">",">","="
0.44,0.96,0.012,23,13,21,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,1,-2.44705140473736,35.1169881202097,-8.41820896606564,"<",">",">",">",">","<"
0.37,0.63,0.36,16,11,27,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,3,4.2564399873458,7.72043251164781,11.1710925695959,"<",">",">",">","<","<"
0.37,0.63,0.36,16,11,27,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,1,25.6610594796389,-9.74522891786855,12.9221737451569,"<",">",">",">","<","<"
0.69,0.15,0.28,14,17,21,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,10.4273501822905,1.35466896502244,6.6854046548221,">",">","<","<","<","<"
0.69,0.15,0.28,14,17,21,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,13.7191897761089,14.5484713511348,-5.45197926234889,">",">","<","<","<",">"
0.12,0.41,0.47,12,29,16,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,0.389717870379876,12.6830859919649,5.92720095018554,"<","<","<","<","<",">"
