"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.77,0.33,0.015,13,22,22,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,8.86481840763245,5.95076223963413,1.54465152090652,">",">",">","<","<","="
0.77,0.33,0.015,13,22,22,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,8.09474120819219,15.4107648117487,-1.77706181190672,"<",">",">","<","<","="
0.89,0.87,0.044,14,25,14,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,12.4330991125863,23.4935860675859,-0.562484778053236,">",">",">","<","=",">"
0.89,0.87,0.044,14,25,14,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,-19.4222402325887,64.704801031135,-5.57404272269549,">",">",">","<","=",">"
0.91,0.87,0.044,14,24,29,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,12.608312094991,19.7402626464938,1.17198690990992,">",">",">","<","<","<"
0.91,0.87,0.044,14,24,29,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,38.3002689556368,12.6473890068492,10.0244192224856,">",">",">","<","<","<"
0.0056,0.71,0.14,28,25,28,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,-1.01646732792064,16.7946360058586,5.54246148578123,"<","<",">",">","=","<"
0.0056,0.71,0.14,28,25,28,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,9.01704342777658,42.8676687112902,-27.7045770454231,"<","<",">",">","=",">"
0.12,0.26,0.9,24,25,17,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,1.91222867147451,6.54849177486643,16.2924731044256,"<","<","<","=",">",">"
0.12,0.26,0.9,24,25,17,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,-19.6509191064775,54.0640905356698,-10.3904471926558,"<","<","<","=",">",">"
0.97,0.75,0.079,16,26,29,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,16.7171643835401,19.8584320963466,1.41432362535247,">",">",">","<","<","<"
0.97,0.75,0.079,16,26,29,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,43.8436762162489,17.8385353744309,41.6011792130627,">",">",">","<","<","<"
0.5,0.56,0.88,11,26,13,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,6.33224562868645,14.5656162228859,11.5391691881849,"<","<",">","<","<",">"
0.5,0.56,0.88,11,26,13,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,8.71298139042513,47.4016925535117,7.74634153676616,"<","<","<","<","<",">"
0.19,0.086,0.89,27,21,11,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,4.20642840852893,1.84732806238322,10.7857159771243,">","<","<",">",">",">"
0.19,0.086,0.89,27,21,11,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,37.6723609640153,43.4412246895263,-14.0344657039714,">","<","<",">",">",">"
