"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"1","0",1,0.94,0.18,0.089,19,22,20,"A",1,TRUE
"2","0",4,0.96,0.99,0.43,29,22,12,"A",0.95,TRUE
"3","0",6,0.86,0.16,0.36,13,18,19,"A",0.85,TRUE
"4","0",10,0.62,0.76,0.26,19,13,10,"A",0.6,TRUE
"5","0",11,0.65,0.76,0.07,22,13,28,"A",0.85,TRUE
"6","0",13,0.74,0.85,0.12,26,13,11,"A",0.95,TRUE
"7","0",14,0.09,0.8,0.12,15,11,16,"A",0.05,TRUE
"8","0",17,0.7,0.49,0.92,28,15,16,"A",0.8,TRUE
"9","0",19,0.7,0.51,0.9,30,17,21,"A",0.8,TRUE
"10","0",20,0.099,0.78,0.9,13,14,12,"A",0,TRUE
"11","0",21,0.8,0.89,0.9,27,12,13,"A",0.95,TRUE
"12","0",23,0.5,0.61,0.19,27,20,20,"A",0.45,TRUE
"13","0",27,0.89,0.54,0.27,15,18,14,"A",0.75,TRUE
"14","0",28,0.32,0.46,0.6,23,17,14,"A",0.3,TRUE
"15","0",30,0.33,0.0086,0.79,17,17,13,"A",0.1,TRUE
"16","0",32,0.94,0.29,0.076,22,28,27,"A",1,TRUE
"17","0",33,0.7,0.86,0.61,21,14,25,"A",0.35,TRUE
"18","0",34,0.94,0.28,0.17,13,23,25,"A",0.85,TRUE
"19","0",36,0.42,0.56,0.4,27,23,30,"A",0.2,TRUE
"20","0",38,0.37,0.7,0.4,24,17,23,"A",0.05,TRUE
"21","0",39,0.0048,0.53,0.38,24,23,29,"A",0,TRUE
"22","0",40,0.59,0.53,0.4,11,23,27,"A",0.1,TRUE
"23","0",41,0.23,0.26,0.25,27,12,27,"A",0.25,TRUE
"24","0",42,0.69,0.17,0.25,17,26,23,"A",0.85,TRUE
"25","0",43,0.37,0.26,0.25,11,17,19,"A",0.4,TRUE
"26","0",46,0.46,0.24,0.26,16,25,24,"A",0.6,TRUE
"27","0",50,0.7,0.84,0.02,29,18,17,"A",0.95,TRUE
"28","1",1,0.94,0.18,0.089,19,22,20,"A",0.75,TRUE
"29","1",4,0.96,0.99,0.43,29,22,12,"A",0.5,TRUE
"30","1",6,0.86,0.16,0.36,13,18,19,"A",0.45,TRUE
"31","1",10,0.62,0.76,0.26,19,13,10,"A",0.35,TRUE
"32","1",11,0.65,0.76,0.07,22,13,28,"A",0.6,TRUE
"33","1",13,0.74,0.85,0.12,26,13,11,"A",0.7,TRUE
"34","1",14,0.09,0.8,0.12,15,11,16,"A",0,TRUE
