"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20"
0.75,0.92,0.07,18,14,18,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,2,1,2,1,2,1,1,2,2,1,1,1,1,1,2,1,2,1
0.75,0.92,0.07,18,14,18,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2
0.42,0.61,0.02,23,14,22,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,2,2,1,2,2,1,1,1,1,2,1,1,2,2,1,1,2,2
0.42,0.61,0.02,23,14,22,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1
0.79,0.82,0.61,23,11,29,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,3,1,1,3,3,1,1,1,3,3,1,3,3,3,3,3,1,1
0.79,0.82,0.61,23,11,29,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,1,2,1,1,1,2,1,1,3,1,1,1,1,2,2,1,2,2
0.6,0.95,0.31,24,22,14,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2
0.6,0.95,0.31,24,22,14,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2
0.17,0.12,0.099,20,23,16,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.17,0.12,0.099,20,23,16,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
0.47,0.81,0.9,21,24,20,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,3
0.47,0.81,0.9,21,24,20,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,3,2,2,3,2,2,3,3,2,2,2,2,3,3,2,2,2
0.5,0.53,0.83,24,20,14,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,3,3,1,3,2,1,1,2,3,2,2,3,3,1,2,1,3,3
0.5,0.53,0.83,24,20,14,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,2,3,3,3,2,2,3,2,1,3,2,3,2,3,3,3,3,3
0.55,0.44,0.58,15,10,22,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.55,0.44,0.58,15,10,22,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
0.85,0.79,0.76,11,18,17,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
0.85,0.79,0.76,11,18,17,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1
0.13,0.1,0.00096,11,16,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,1,1,1
0.13,0.1,0.00096,11,16,11,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,1,2
0.54,0.94,0.46,13,11,26,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,3,3,3,2,3,3,3,3,1,2,2,2,2,2,3,3,2,2
0.54,0.94,0.46,13,11,26,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,1,1,2,1,2,1,2,3,3,2,2,2,2,2,2,2,2,2,1
0.3,0.78,0.9,29,19,14,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,2,2,2,3,2,3,2,2,2,2,1,3,2,2,3,2,2
0.3,0.78,0.9,29,19,14,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,2,3,3,2,2,3,2,3,3,3,2,2,2,1,2,3,3,2
0.02,0.3,0.42,23,19,17,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,2,3,3,2,3,3,3,3,2,3,3,2,3,3,3,2,2
0.02,0.3,0.42,23,19,17,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,2,3,3,2,2,2,1,3,3,2,3,2,3,3,3,3,3,3
0.47,0.54,0.58,22,28,25,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,3,3,3,2,2,2,3,2,2,3,2,3,2,2,3,3
0.47,0.54,0.58,22,28,25,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,2,3,3,2,3,3,3,2,2,3,2,3,3,3,3,3,2,2
0.31,0.12,0.7,27,15,17,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,1,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3
0.31,0.12,0.7,27,15,17,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,1,3,3,1,3,3,3,1,3,3,3,3,3,3,1,1,3,3,3
0.81,0.68,0.035,10,22,10,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
0.81,0.68,0.035,10,22,10,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2
0.43,0.26,0.95,26,27,24,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.43,0.26,0.95,26,27,24,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,3,1,3,3,1,3,3,1,3,1,1,3,3,3,2,3
0.76,0.26,0.93,25,17,21,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,1,1,1,1,3,3,3,1,1,1,1,1,1,3,1,3,3
0.76,0.26,0.93,25,17,21,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,3,1,1,3,1,3,1,3,1,1,1,3,1,3,1,3,1
0.49,0.86,0.13,28,21,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
0.49,0.86,0.13,28,21,11,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1
0.46,0.42,0.52,28,13,21,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,1,1,3,1,1,3,1,1,1,1,3,1,3,1,1,1
0.46,0.42,0.52,28,13,21,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,1,3,3,1,3,1,1,3,3,1,3,3,2,1,1,1,3,3,1
0.55,0.57,0.64,24,25,10,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2
0.55,0.57,0.64,24,25,10,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2
0.54,0.26,0.43,16,21,21,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,1,3,1,3,3,1,1,3,3,3,1,3,3,1,1,3,1,3,1
0.54,0.26,0.43,16,21,21,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,1,1,1,1,2,3,3,3,1,3,2,3,1,3,1,1,1,1
0.4,0.38,0.64,21,30,10,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,1,2,1,1,2,1,2,2,2,3,2,3,2,1,2,1,2,1,2
0.4,0.38,0.64,21,30,10,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,3,1,1,3,3,3,1,3,1,1,3,3,3,2,1,3,3,1,3
0.045,0.29,0.64,26,30,22,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,3,3,3,3
0.045,0.29,0.64,26,30,22,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3
0.66,0.78,0.31,23,15,28,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,1,2,1,1,1,2,1,1,3,1,2,1,2,2,1,2,1,1,1
0.66,0.78,0.31,23,15,28,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,3,2,2,1,2,1,2,1,3,1,2,1,3,1,1,1,1,2
0.17,0.63,0.4,21,16,24,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,2,2,2,2,2,3,3,2,3,3,3,3,2,3,2,3,2,2
0.17,0.63,0.4,21,16,24,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,3,3,2,3,2,2,3,2,3,3,2,3,3,3,3,3,2,3,3
0.34,0.95,0.31,24,23,26,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.34,0.95,0.31,24,23,26,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,1,2
0.28,0.7,0.59,29,16,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2
0.28,0.7,0.59,29,16,11,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
0.61,0.61,0.12,17,12,22,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
0.61,0.61,0.12,17,12,22,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,1,1,1,2,1,1,1,2,1,1,3,1,1,1,1,1,1,3,3
1,0.84,0.11,22,25,15,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1
1,0.84,0.11,22,25,15,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,1,1,2,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1
0.4,0.54,0.15,22,16,22,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,1
0.4,0.54,0.15,22,16,22,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,1,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2
0.17,0.61,0.4,30,15,26,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,3,2,1,3,2,3,3,3,2,3,3,2,2,2,2,3,3,2,3
0.17,0.61,0.4,30,15,26,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,3,3,2,2,2,3,3,3,2,2,2,2,3,2,3,2,2,3,3
0.35,0.042,0.81,27,16,19,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,1,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,1
0.35,0.042,0.81,27,16,19,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,1,3,3,3,3,3,1,3,3,1,3,3,3,3,3,1,3
0.58,0.83,0.69,13,13,19,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3
0.58,0.83,0.69,13,13,19,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,2,2
0.75,0.83,0.64,18,18,18,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
0.75,0.83,0.64,18,18,18,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2
0.14,0.66,0.33,18,16,19,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,3,3,2,3
0.14,0.66,0.33,18,16,19,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,2,3,2,3,3,3,3,3,2,2,3,3,3,2,3,2,2,3
0.29,0.69,0.86,14,20,13,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,3,3,3,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2
