"ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","trialid","probA","probB","probC","payoffA","payoffB","payoffC","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff","exValA","exValB","exValC","val_chosen","best_available","agent_loss","val_randomchoice","randomChoice_loss"
0,3,0.011,1.1,0.01,1,0.5,0.3,0.35,20,33,25,3,2.9077045656465,7.99995523855494,10.9919971537699,">",">","<","<","<",">",10,9.9,8.75,8.75,10,-1.25,10,0
0,3,0.011,1.1,0.01,2,0.4,0.67,0.25,25,15,33,1,7.99226581334623,7.02893562978056,4.61157056206598,"<",">",">",">","<","<",10,10.05,8.25,10,10.05,-0.0500000000000007,10.05,0
0,3,0.011,1.1,0.01,3,0.67,0.83,0.62,15,12,13,2,10.0434433903122,13.5091009543518,6.42062906110004,"<",">",">",">",">","=",10.05,9.96,8.06,9.96,10.05,-0.0900000000000016,9.96,-0.0900000000000016
0,3,0.011,1.1,0.01,4,0.3,0.67,0.35,33,15,25,2,8.19032206785386,9.9698736587786,9.9924186033021,"<","<",">",">",">","<",9.9,10.05,8.75,10.05,10.05,0,10.05,0
0,3,0.011,1.1,0.01,5,0.3,0.67,0.62,33,15,15,3,8.34550813998204,7.42929367564214,13.7333743836539,"<","<",">",">",">","=",9.9,10.05,9.3,9.3,10.05,-0.75,10.05,0
0,3,0.011,1.1,0.01,6,0.5,0.67,0.35,20,15,20,1,10.4873850913956,9.85085835925498,4.05897046661374,"<",">",">",">","=","<",10,10.05,7,10,10.05,-0.0500000000000007,7,-3.05
0,3,0.011,1.1,0.01,7,0.83,0.67,0.62,12,15,13,2,11.3932996490788,12.1757789426975,6.47164061536328,">",">",">","<","=",">",9.96,10.05,8.06,10.05,10.05,0,9.96,-0.0900000000000016
0,3,0.011,1.1,0.01,8,0.83,0.5,0.78,12,20,12,2,3.53236594536224,9.02747789597655,9.32263077038892,">",">","<","<","=",">",9.96,10,9.36,10,10,0,9.36,-0.640000000000001
0,3,0.011,1.1,0.01,9,0.67,0.83,0.78,15,12,12,3,11.4078891195673,7.16178282845299,13.0074180736809,"<","<",">",">",">","=",10.05,9.96,9.36,9.36,10.05,-0.690000000000001,9.96,-0.0900000000000016
0,3,0.011,1.1,0.01,10,0.83,0.5,0.3,12,20,30,2,4.21981973400698,9.57333270566813,10.3967416844713,">",">",">","<","<","<",9.96,10,9,10,10,0,10,0
0,3,0.011,1.1,0.01,11,0.5,0.3,0.35,20,33,20,2,7.58298561910256,6.81723640480572,7.60753881203726,">",">","<","<","=",">",10,9.9,7,9.9,10,-0.0999999999999996,7,-3
0,3,0.011,1.1,0.01,12,0.67,0.4,0.62,15,25,13,1,15.5011575895341,10.5619962813801,7.2773244090853,">",">","<","<",">",">",10.05,10,8.06,10.05,10.05,0,10,-0.0500000000000007
0,3,0.011,1.1,0.01,13,0.5,0.83,0.45,20,12,20,2,8.51098399302752,10.5215391580546,7.80278279267115,"<",">",">",">","=","<",10,9.96,9,9.96,10,-0.0400000000000009,9.96,-0.0400000000000009
0,3,0.011,1.1,0.01,14,0.3,0.67,0.25,33,15,33,2,11.2279258724486,15.7088877574437,9.16635845360553,"<",">",">",">","=","<",9.9,10.05,8.25,10.05,10.05,0,10.05,0
0,3,0.011,1.1,0.01,15,0.5,0.3,0.45,20,33,18,2,9.05465338742291,12.1974460173715,2.84690569892182,">",">","<","<",">",">",10,9.9,8.1,9.9,10,-0.0999999999999996,8.1,-1.9
