"ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","trialid","probA","probB","probC","payoffA","payoffB","payoffC","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff","exValA","exValB","exValC","val_chosen","best_available","agent_loss","val_randomchoice","randomChoice_loss"
0,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,2,9.02614959134676,12.6994746279432,7.34152557991174,">","=","<","<",">",">",10,10,9,10,10,0,10,0
0,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,2,7.67298443191769,8.78110317214198,0.958499512841037,">",">",">","<",">",">",10,10,0.1,10,10,0,10,0
0,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,1,16.4141153047753,11.1356779258872,12.0968586225293,">",">","=","<","<",">",10.05,10,9,10.05,10.05,0,10.05,0
0,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,1,14.3892667919848,4.10710682347795,-4.14013825566999,">",">",">","<",">",">",10.05,10,0.1,10.05,10.05,0,10.05,0
1,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,3,10.5837169601838,8.95999970622599,8.82683939349455,">","=","<","<",">",">",10,10,9,9,10,-1,9,-1
1,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,2,7.22235350977586,7.2720285050248,-0.0826092792857535,">",">",">","<",">",">",10,10,0.1,10,10,0,10,0
1,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,2,9.70452542551462,12.9222196885935,7.02455891314103,"=",">","=","<","<",">",10.05,10,9,10,10.05,-0.0500000000000007,9,-1.05
1,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,2,12.3408552618625,10.2963207650887,3.59592730987335,">",">",">","<",">",">",10.05,10,0.1,10,10.05,-0.0500000000000007,0.1,-9.95
2,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,2,8.19045882947584,13.2003384089957,2.20936730034654,">","=","<","<",">",">",10,10,9,10,10,0,9,-1
2,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,2,8.82704107267362,11.0788691671985,-3.8097149298395,">",">",">","<",">",">",10,10,0.1,10,10,0,10,0
2,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,2,10.0465451582761,8.76256321373636,10.9350101303535,">",">","=","<","<",">",10.05,10,9,10,10.05,-0.0500000000000007,9,-1.05
2,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,2,11.6650549173288,13.9155448253804,-5.48646248225724,">","<",">","<",">",">",10.05,10,0.1,10,10.05,-0.0500000000000007,10.05,0
3,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,1,8.46116955943779,7.73486948985156,8.88399214629076,">","=","<","<",">",">",10,10,9,10,10,0,10,0
3,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,2,14.9324860248994,11.9569048691935,-2.74903860427348,">",">",">","<",">",">",10,10,0.1,10,10,0,0.1,-9.9
3,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,3,7.96809704126484,5.07418675734623,12.0102542220067,">",">","=","<","<",">",10.05,10,9,9,10.05,-1.05,10,-0.0500000000000007
3,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,2,7.55558021111192,7.47158884487541,2.35895105391153,">",">",">","<",">",">",10.05,10,0.1,10,10.05,-0.0500000000000007,10,-0.0500000000000007
4,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,1,12.9056918073444,9.84993765695403,9.24622773945152,">","=","<","<",">",">",10,10,9,10,10,0,9,-1
4,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,1,12.1493057427331,2.09100136916725,1.38765010972611,">",">",">","<",">",">",10,10,0.1,10,10,0,10,0
4,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,1,12.8355216548591,9.58922445087807,10.2975926575191,">",">","=","<","<",">",10.05,10,9,10.05,10.05,0,9,-1.05
4,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,2,11.1952558278762,9.26414987429419,1.95038002139619,">",">",">","<",">",">",10.05,10,0.1,10,10.05,-0.0500000000000007,0.1,-9.95
5,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,2,10.760160429352,14.7544207573573,10.7103265797337,">","=","<","<",">",">",10,10,9,10,10,0,9,-1
5,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,1,12.907937416985,4.77236865767432,-5.76802541748138,">",">",">","<",">",">",10,10,0.1,10,10,0,0.1,-9.9
5,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,2,12.4148745316329,12.1326821662736,8.02366728599734,">",">","=","<","<",">",10.05,10,9,10,10.05,-0.0500000000000007,10,-0.0500000000000007
5,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,2,10.9440242369093,12.9041747828007,-1.21230633127678,">",">",">","<",">",">",10.05,10,0.1,10,10.05,-0.0500000000000007,10,-0.0500000000000007
6,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,1,7.88457941497203,8.37371397652589,8.42540948142197,">","=","<","<",">",">",10,10,9,10,10,0,10,0
6,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,1,13.1152590231334,7.30727770253904,1.77156743970594,">",">",">","<",">",">",10,10,0.1,10,10,0,0.1,-9.9
6,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,1,13.5292062352314,10.8266081731072,10.1108997322112,">",">","=","<","<",">",10.05,10,9,10.05,10.05,0,10,-0.0500000000000007
6,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,2,10.0799821342103,14.2854012187259,-0.69874328864146,"=",">",">","<",">",">",10.05,10,0.1,10,10.05,-0.0500000000000007,0.1,-9.95
7,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,2,8.29527326527542,13.6447297562544,9.96694416726008,">","=","<","<",">",">",10,10,9,10,10,0,10,0
7,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,1,16.1009969790357,6.28780973115857,-3.11636918101286,">",">",">","<",">",">",10,10,0.1,10,10,0,10,0
7,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,2,9.30575975540053,13.0776458003027,4.79241859908108,">",">","=","<","<",">",10.05,10,9,10,10.05,-0.0500000000000007,10,-0.0500000000000007
7,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,1,8.03628226107092,5.59204234384835,-11.2044991171302,">",">",">","<",">",">",10.05,10,0.1,10.05,10.05,0,10.05,0
8,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,3,12.1025218073592,12.4736283007947,13.34235578064,">","=","<","<",">",">",10,10,9,9,10,-1,9,-1
8,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,2,8.78117287723489,14.2253728757169,3.99104907790123,">",">",">","<",">",">",10,10,0.1,10,10,0,10,0
8,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,1,13.1521794506382,7.40493268317744,7.96348915060326,">",">","=","<","<",">",10.05,10,9,10.05,10.05,0,10,-0.0500000000000007
8,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,1,10.3606359460212,8.51754977020317,2.63115556350641,">",">",">","<",">",">",10.05,10,0.1,10.05,10.05,0,0.1,-9.95
9,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,3,6.20971123877236,7.49959650989378,9.78782448674252,">","=","<","<",">",">",10,10,9,9,10,-1,10,0
9,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,1,12.9328400229134,8.7407297359135,-1.47452072632577,">",">",">","<",">",">",10,10,0.1,10,10,0,10,0
9,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,2,9.78686471499763,11.5537204049809,6.55778107566261,">",">","=","<","=",">",10.05,10,9,10,10.05,-0.0500000000000007,10,-0.0500000000000007
9,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,2,5.75481514877425,14.9108109968234,-4.52860805611259,">",">",">","<",">",">",10.05,10,0.1,10,10.05,-0.0500000000000007,10.05,0
10,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,2,10.9213456871005,8.98369592847595,12.8717988761136,">","=","<","<",">",">",10,10,9,10,10,0,9,-1
10,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,2,6.28865179041937,10.8997445364414,-3.32825602014038,">",">",">","<",">",">",10,10,0.1,10,10,0,10,0
10,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,1,15.0752353123445,10.3072653496265,4.39861888295831,">",">","=","<","<",">",10.05,10,9,10.05,10.05,0,10,-0.0500000000000007
10,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,1,7.63922762258182,11.5229923437047,3.35795193849895,">",">",">","<",">",">",10.05,10,0.1,10.05,10.05,0,10.05,0
11,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,3,7.8617188809124,7.85362282272495,10.6799313737643,">","=","<","<",">",">",10,10,9,9,10,-1,9,-1
11,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,2,2.8582576952087,8.34917452717729,-2.85779540909563,">",">",">","<",">",">",10,10,0.1,10,10,0,10,0
11,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,2,10.1322905785676,6.39592325351952,8.64628675522081,">",">","=","<","<",">",10.05,10,9,10,10.05,-0.0500000000000007,9,-1.05
11,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,1,14.8116990109857,14.2983939746512,0.667369445106205,">",">","<","<",">",">",10.05,10,0.1,10.05,10.05,0,0.1,-9.95
12,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,1,8.69597247246295,8.11567692738625,11.3739139711946,">","=","<","<",">",">",10,10,9,10,10,0,9,-1
12,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,2,7.68178496266281,10.0192723648721,1.17280045231309,">",">",">","<",">",">",10,10,0.1,10,10,0,10,0
12,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,1,13.6038877145135,11.6514912198621,11.6066030300607,">",">","=","<","<",">",10.05,10,9,10.05,10.05,0,10,-0.0500000000000007
12,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,2,11.5397927038591,15.586859386642,1.54003424995724,">",">",">","<",">",">",10.05,10,0.1,10,10.05,-0.0500000000000007,0.1,-9.95
13,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,3,4.6240062029831,9.25663213310769,8.41094167549314,">","=","<","<",">",">",10,10,9,9,10,-1,9,-1
13,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,1,18.517112720292,15.0805034204954,-4.51937657047976,">",">",">","<",">",">",10,10,0.1,10,10,0,0.1,-9.9
13,3,0.011,1.1,0.01,3,0.67,0.5,0.5,15,20,18,1,11.3522955134881,9.03272312312141,9.35218665275614,">",">","=","<","<",">",10.05,10,9,10.05,10.05,0,9,-1.05
13,3,0.011,1.1,0.01,4,0.67,0.5,0.1,15,20,1,2,6.69987055276297,8.69919258628849,-3.26047794317639,">",">",">","<",">",">",10.05,10,0.1,10,10.05,-0.0500000000000007,10,-0.0500000000000007
14,3,0.011,1.1,0.01,1,0.5,0.4,0.5,20,25,18,2,9.88346451235145,11.0662506540262,5.71143795857859,">","=","<","<",">",">",10,10,9,10,10,0,10,0
14,3,0.011,1.1,0.01,2,0.5,0.4,0.1,20,25,1,2,6.53359838604381,9.56110199991878,0.671590375159785,">",">",">","<",">",">",10,10,0.1,10,10,0,10,0
