"model","hm_ppnts","hm_trials","calcsd","tolerance_prob","tolerance_payoff","p_err","stimtype","maxperformance","agentperformance"
"howes16_full.ppl",1,1000,0.01,0.011,1.1,0.01,"random",75925.0608669135,70778.2728523377
"howes16_full.ppl",1,1000,5.01,0.011,1.1,0.01,"random",75925.0608669135,69780.1105005576
"howes16_full.ppl",1,1000,10.01,0.011,1.1,0.01,"random",75925.0608669135,69171.3383653062
"howes16_full.ppl",1,1000,15.01,0.011,1.1,0.01,"random",75925.0608669135,69909.1086239751
"howes16_full.ppl",1,1000,20.01,0.011,1.1,0.01,"random",75925.0608669135,69314.1043726298
"howes16_full.ppl",1,1000,25.01,0.011,1.1,0.01,"random",75925.0608669135,67728.7479672029
"howes16_full.ppl",1,1000,30.01,0.011,1.1,0.01,"random",75925.0608669135,68301.2094313068
"howes16_full.ppl",1,1000,35.01,0.011,1.1,0.01,"random",75925.0608669135,67027.0801289019
"howes16_full.ppl",1,1000,40.01,0.011,1.1,0.01,"random",75925.0608669135,66577.6456311394
"howes16_full.ppl",1,1000,45.01,0.011,1.1,0.01,"random",75925.0608669135,67075.6504830881
"howes16_full.ppl",1,1000,50.01,0.011,1.1,0.01,"random",75925.0608669135,66761.6798222448
"ordonly.ppl",1,1000,0.01,0.011,1.1,0.01,"random",75925.0608669135,65314.8257004067
"ordonly.ppl",1,1000,5.01,0.011,1.1,0.01,"random",75925.0608669135,64567.4078603375
"ordonly.ppl",1,1000,10.01,0.011,1.1,0.01,"random",75925.0608669135,64443.6754581533
"ordonly.ppl",1,1000,15.01,0.011,1.1,0.01,"random",75925.0608669135,64887.8559499758
"ordonly.ppl",1,1000,20.01,0.011,1.1,0.01,"random",75925.0608669135,65791.4175436332
"ordonly.ppl",1,1000,25.01,0.011,1.1,0.01,"random",75925.0608669135,63899.6083977782
"ordonly.ppl",1,1000,30.01,0.011,1.1,0.01,"random",75925.0608669135,65645.4584278904
"ordonly.ppl",1,1000,35.01,0.011,1.1,0.01,"random",75925.0608669135,64185.1020583429
"ordonly.ppl",1,1000,40.01,0.011,1.1,0.01,"random",75925.0608669135,66233.9867646099
"ordonly.ppl",1,1000,45.01,0.011,1.1,0.01,"random",75925.0608669135,65268.7942499684
"ordonly.ppl",1,1000,50.01,0.011,1.1,0.01,"random",75925.0608669135,65046.0331800128
"calconly.ppl",1,1000,0.01,0.011,1.1,0.01,"random",75925.0608669135,71115.4079453191
"calconly.ppl",1,1000,5.01,0.011,1.1,0.01,"random",75925.0608669135,71103.3159371439
"calconly.ppl",1,1000,10.01,0.011,1.1,0.01,"random",75925.0608669135,70204.4509524173
"calconly.ppl",1,1000,15.01,0.011,1.1,0.01,"random",75925.0608669135,68670.4962687581
"calconly.ppl",1,1000,20.01,0.011,1.1,0.01,"random",75925.0608669135,66827.9496126758
"calconly.ppl",1,1000,25.01,0.011,1.1,0.01,"random",75925.0608669135,64417.4300097283
"calconly.ppl",1,1000,30.01,0.011,1.1,0.01,"random",75925.0608669135,61646.1257947022
"calconly.ppl",1,1000,35.01,0.011,1.1,0.01,"random",75925.0608669135,60694.4051949069
"calconly.ppl",1,1000,40.01,0.011,1.1,0.01,"random",75925.0608669135,58868.3540779175
"calconly.ppl",1,1000,45.01,0.011,1.1,0.01,"random",75925.0608669135,57585.161806488
"calconly.ppl",1,1000,50.01,0.011,1.1,0.01,"random",75925.0608669135,54770.3989971032
