"model","hm_ppnts","hm_trials","calcsd","tolerance_prob","tolerance_payoff","p_err","stimtype","maxperformance","agentperformance"
"howes16_full.ppl",1,1000,30,0.011,1.1,0,"random",75925.0608669135,67578.9823729006
"howes16_full.ppl",1,1000,30,0.011,1.1,0.1,"random",75925.0608669135,66983.6818347253
"howes16_full.ppl",1,1000,30,0.011,1.1,0.2,"random",75925.0608669135,65547.3282440095
"howes16_full.ppl",1,1000,30,0.011,1.1,0.3,"random",75925.0608669135,63835.9032840333
"howes16_full.ppl",1,1000,30,0.011,1.1,0.4,"random",75925.0608669135,64375.4175641577
"howes16_full.ppl",1,1000,30,0.011,1.1,0.5,"random",75925.0608669135,61611.9307047262
"howes16_full.ppl",1,1000,30,0.011,1.1,0.6,"random",75925.0608669135,60140.17812004
"howes16_full.ppl",1,1000,30,0.011,1.1,0.7,"random",75925.0608669135,58211.1974409235
"howes16_full.ppl",1,1000,30,0.011,1.1,0.8,"random",75925.0608669135,57916.4112337856
"howes16_full.ppl",1,1000,30,0.011,1.1,0.9,"random",75925.0608669135,56556.68828312
"howes16_full.ppl",1,1000,30,0.011,1.1,1,"random",75925.0608669135,56741.3390682848
"ordonly.ppl",1,1000,30,0.011,1.1,0,"random",75925.0608669135,65650.8809848206
"ordonly.ppl",1,1000,30,0.011,1.1,0.1,"random",75925.0608669135,63662.2613325313
"ordonly.ppl",1,1000,30,0.011,1.1,0.2,"random",75925.0608669135,61856.4791729632
"ordonly.ppl",1,1000,30,0.011,1.1,0.3,"random",75925.0608669135,59492.8965283952
"ordonly.ppl",1,1000,30,0.011,1.1,0.4,"random",75925.0608669135,58745.2850099588
"ordonly.ppl",1,1000,30,0.011,1.1,0.5,"random",75925.0608669135,58401.4065396072
"ordonly.ppl",1,1000,30,0.011,1.1,0.6,"random",75925.0608669135,56719.5304711484
"ordonly.ppl",1,1000,30,0.011,1.1,0.7,"random",75925.0608669135,54993.3877142304
"ordonly.ppl",1,1000,30,0.011,1.1,0.8,"random",75925.0608669135,53506.8534109573
"ordonly.ppl",1,1000,30,0.011,1.1,0.9,"random",75925.0608669135,52254.4552781945
"ordonly.ppl",1,1000,30,0.011,1.1,1,"random",75925.0608669135,50934.2097461324
"calconly.ppl",1,1000,30,0.011,1.1,0,"random",75925.0608669135,61203.1509009942
"calconly.ppl",1,1000,30,0.011,1.1,0.1,"random",75925.0608669135,62610.9837944792
"calconly.ppl",1,1000,30,0.011,1.1,0.2,"random",75925.0608669135,62595.3787394811
"calconly.ppl",1,1000,30,0.011,1.1,0.3,"random",75925.0608669135,60351.4305951286
"calconly.ppl",1,1000,30,0.011,1.1,0.4,"random",75925.0608669135,61763.3619317564
"calconly.ppl",1,1000,30,0.011,1.1,0.5,"random",75925.0608669135,61680.3766638591
"calconly.ppl",1,1000,30,0.011,1.1,0.6,"random",75925.0608669135,61855.5522148027
"calconly.ppl",1,1000,30,0.011,1.1,0.7,"random",75925.0608669135,63155.6080475776
"calconly.ppl",1,1000,30,0.011,1.1,0.8,"random",75925.0608669135,62855.7402215413
"calconly.ppl",1,1000,30,0.011,1.1,0.9,"random",75925.0608669135,61651.6380382527
"calconly.ppl",1,1000,30,0.011,1.1,1,"random",75925.0608669135,61311.0208865227
