"model","hm_ppnts","hm_trials","calcsd","tolerance_prob","tolerance_payoff","p_err","stimtype","maxperformance","agentperformance"
"howes16_full.ppl",1,1000,0.01,0.011,1.1,0.01,"random",75925.0608669135,75897.7142475772
"howes16_full.ppl",1,1000,5.01,0.011,1.1,0.01,"random",75925.0608669135,75717.4152499013
"howes16_full.ppl",1,1000,10.01,0.011,1.1,0.01,"random",75925.0608669135,75242.5189011225
"howes16_full.ppl",1,1000,15.01,0.011,1.1,0.01,"random",75925.0608669135,74852.0405061174
"howes16_full.ppl",1,1000,20.01,0.011,1.1,0.01,"random",75925.0608669135,74396.0993688088
"howes16_full.ppl",1,1000,25.01,0.011,1.1,0.01,"random",75925.0608669135,73871.3688696135
"howes16_full.ppl",1,1000,30.01,0.011,1.1,0.01,"random",75925.0608669135,73631.1043857606
"howes16_full.ppl",1,1000,35.01,0.011,1.1,0.01,"random",75925.0608669135,73193.1071405977
"howes16_full.ppl",1,1000,40.01,0.011,1.1,0.01,"random",75925.0608669135,73662.0538939977
"howes16_full.ppl",1,1000,45.01,0.011,1.1,0.01,"random",75925.0608669135,73267.1229526898
"howes16_full.ppl",1,1000,50.01,0.011,1.1,0.01,"random",75925.0608669135,73166.3317411235
"ordonly.ppl",1,1000,0.01,0.011,1.1,0.01,"random",75925.0608669135,73251.4805316986
"ordonly.ppl",1,1000,5.01,0.011,1.1,0.01,"random",75925.0608669135,73398.2598359813
"ordonly.ppl",1,1000,10.01,0.011,1.1,0.01,"random",75925.0608669135,73369.0902340495
"ordonly.ppl",1,1000,15.01,0.011,1.1,0.01,"random",75925.0608669135,73436.7885804151
"ordonly.ppl",1,1000,20.01,0.011,1.1,0.01,"random",75925.0608669135,74046.6799958938
"ordonly.ppl",1,1000,25.01,0.011,1.1,0.01,"random",75925.0608669135,73610.7278838335
"ordonly.ppl",1,1000,30.01,0.011,1.1,0.01,"random",75925.0608669135,74030.9461193996
"ordonly.ppl",1,1000,35.01,0.011,1.1,0.01,"random",75925.0608669135,73904.3682397767
"ordonly.ppl",1,1000,40.01,0.011,1.1,0.01,"random",75925.0608669135,73810.0157949367
"ordonly.ppl",1,1000,45.01,0.011,1.1,0.01,"random",75925.0608669135,74307.2986997298
"ordonly.ppl",1,1000,50.01,0.011,1.1,0.01,"random",75925.0608669135,73658.6028835363
"calconly.ppl",1,1000,0.01,0.011,1.1,0.01,"random",75925.0608669135,75920.5379158939
"calconly.ppl",1,1000,5.01,0.011,1.1,0.01,"random",75925.0608669135,75598.5914835927
"calconly.ppl",1,1000,10.01,0.011,1.1,0.01,"random",75925.0608669135,74659.8818352255
"calconly.ppl",1,1000,15.01,0.011,1.1,0.01,"random",75925.0608669135,72563.4342147353
"calconly.ppl",1,1000,20.01,0.011,1.1,0.01,"random",75925.0608669135,70684.2748960912
"calconly.ppl",1,1000,25.01,0.011,1.1,0.01,"random",75925.0608669135,69724.6111322908
"calconly.ppl",1,1000,30.01,0.011,1.1,0.01,"random",75925.0608669135,67320.5282092732
"calconly.ppl",1,1000,35.01,0.011,1.1,0.01,"random",75925.0608669135,66308.3558111851
"calconly.ppl",1,1000,40.01,0.011,1.1,0.01,"random",75925.0608669135,64278.3764044385
"calconly.ppl",1,1000,45.01,0.011,1.1,0.01,"random",75925.0608669135,63445.3378658606
"calconly.ppl",1,1000,50.01,0.011,1.1,0.01,"random",75925.0608669135,62313.0065380336
