"model","hm_ppnts","hm_trials","calcsd","tolerance_prob","tolerance_payoff","p_err","stimtype","maxperformance","agentperformance"
"howes16_full.ppl",1,1000,30,0.011,1.1,0,"random",75925.0608669135,73656.8056474843
"howes16_full.ppl",1,1000,30,0.011,1.1,0.1,"random",75925.0608669135,73398.0158675801
"howes16_full.ppl",1,1000,30,0.011,1.1,0.2,"random",75925.0608669135,71966.9834548116
"howes16_full.ppl",1,1000,30,0.011,1.1,0.3,"random",75925.0608669135,70305.7446124602
"howes16_full.ppl",1,1000,30,0.011,1.1,0.4,"random",75925.0608669135,69869.3823193186
"howes16_full.ppl",1,1000,30,0.011,1.1,0.5,"random",75925.0608669135,67956.359319392
"howes16_full.ppl",1,1000,30,0.011,1.1,0.6,"random",75925.0608669135,67196.6644443057
"howes16_full.ppl",1,1000,30,0.011,1.1,0.7,"random",75925.0608669135,66220.1996135178
"howes16_full.ppl",1,1000,30,0.011,1.1,0.8,"random",75925.0608669135,65227.3449577752
"howes16_full.ppl",1,1000,30,0.011,1.1,0.9,"random",75925.0608669135,64666.8342922642
"howes16_full.ppl",1,1000,30,0.011,1.1,1,"random",75925.0608669135,63430.9981447921
"ordonly.ppl",1,1000,30,0.011,1.1,0,"random",75925.0608669135,74200.9369546785
"ordonly.ppl",1,1000,30,0.011,1.1,0.1,"random",75925.0608669135,71934.3534025844
"ordonly.ppl",1,1000,30,0.011,1.1,0.2,"random",75925.0608669135,69755.6981188057
"ordonly.ppl",1,1000,30,0.011,1.1,0.3,"random",75925.0608669135,67873.8154376309
"ordonly.ppl",1,1000,30,0.011,1.1,0.4,"random",75925.0608669135,65400.3495700792
"ordonly.ppl",1,1000,30,0.011,1.1,0.5,"random",75925.0608669135,62318.8854773092
"ordonly.ppl",1,1000,30,0.011,1.1,0.6,"random",75925.0608669135,59905.686048672
"ordonly.ppl",1,1000,30,0.011,1.1,0.7,"random",75925.0608669135,58083.1293140324
"ordonly.ppl",1,1000,30,0.011,1.1,0.8,"random",75925.0608669135,55572.6713711897
"ordonly.ppl",1,1000,30,0.011,1.1,0.9,"random",75925.0608669135,53264.1553666716
"ordonly.ppl",1,1000,30,0.011,1.1,1,"random",75925.0608669135,49812.954625829
"calconly.ppl",1,1000,30,0.011,1.1,0,"random",75925.0608669135,68165.2777329439
"calconly.ppl",1,1000,30,0.011,1.1,0.1,"random",75925.0608669135,68189.3987884676
"calconly.ppl",1,1000,30,0.011,1.1,0.2,"random",75925.0608669135,67220.2296360551
"calconly.ppl",1,1000,30,0.011,1.1,0.3,"random",75925.0608669135,68644.5548698224
"calconly.ppl",1,1000,30,0.011,1.1,0.4,"random",75925.0608669135,67715.7442994214
"calconly.ppl",1,1000,30,0.011,1.1,0.5,"random",75925.0608669135,67975.4104791674
"calconly.ppl",1,1000,30,0.011,1.1,0.6,"random",75925.0608669135,67351.6847508438
"calconly.ppl",1,1000,30,0.011,1.1,0.7,"random",75925.0608669135,67974.9885181493
"calconly.ppl",1,1000,30,0.011,1.1,0.8,"random",75925.0608669135,67462.5193844509
"calconly.ppl",1,1000,30,0.011,1.1,0.9,"random",75925.0608669135,67062.0006271566
"calconly.ppl",1,1000,30,0.011,1.1,1,"random",75925.0608669135,66874.3442080685
