"ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","calcA","calcB","calcC","ordprobAB","ordprobAC","ordprobBC","ordpayoffAB","ordpayoffAC","ordpayoffBC","estA","estB","estC","choice"
1,1,0.5,0.4,0.62,20,25,13,12.9035234562958,8.55181976186075,6.07827417748828,3,1,1,1,3,3,12.5433714506972,9.53870077043783,5.63791034292933,"1"
1,2,0.5,0.67,0.78,20,15,10,4.7529079036213,7.4980420919415,5.12012438308435,1,1,1,3,3,3,5.98019400068454,7.48671822045857,4.7570344989434,"2"
1,3,0.67,0.83,0.3,15,12,30,4.46305829780781,7.89683579845683,7.06122265904802,1,3,3,3,1,1,4.95127029708105,6.73116444221168,8.16427123973853,"3"
1,4,0.5,0.83,0.25,20,12,30,8.14504881036144,8.24259905273139,9.66332697722607,1,3,3,3,1,1,8.05671437703422,7.33608929469515,10.754322907531,"3"
1,5,0.5,0.67,0.3,20,15,30,13.3087146782367,5.96956529336238,15.4147420378452,1,3,3,3,1,1,13.0909792876821,5.64902163796145,16.1879071329944,"3"
1,6,0.5,0.83,0.25,20,12,33,12.7646906113548,11.5955319674898,7.71761811696686,1,3,3,3,1,1,12.4588487797339,10.5321922932578,9.11406981441318,"1"
1,7,0.83,0.5,0.78,12,20,12,10.5211158767687,12.2434225562049,8.2113287178088,3,3,1,1,2,3,9.39842270310531,13.102104663065,8.51114902117744,"2"
1,8,0.83,0.4,0.45,12,25,18,9.79930642543742,14.0002589870921,7.43434202139526,3,3,1,1,1,3,8.61197721578057,14.7692791886335,7.87551502657179,"2"
1,9,0.4,0.3,0.45,25,33,18,5.93882762636833,7.29439513524581,4.5855016151373,3,1,1,1,3,3,5.93797655761408,8.27067621542933,4.37057581542866,"2"
1,10,0.4,0.5,0.83,25,20,10,7.51947601508891,10.4944882132228,10.2110230877608,1,1,1,3,1,3,8.74933824273027,10.3117260014704,9.3226877247701,"2"
1,11,0.83,0.3,0.45,12,33,18,11.6252317628128,9.6322548491192,4.00568953137303,3,3,1,1,1,3,10.2191029588031,10.6010191750355,4.9542878498097,"2"
1,12,0.83,0.5,0.35,12,20,20,9.85960686786619,4.44336253381977,11.007237797391,3,3,3,1,1,2,8.54017428131807,5.16143523188314,11.9718307984527,"3"
1,13,0.4,0.5,0.45,25,20,18,11.3193746652858,11.1696632487421,6.37873350501226,1,1,3,3,3,2,12.1372490554517,9.99804786561194,6.9355808569357,"1"
1,14,0.83,0.67,0.62,12,15,15,13.0767297485395,7.24290737633565,9.93386882121928,3,3,3,1,1,2,11.7295549402619,7.58797631136885,11.1703077517134,"1"
1,15,0.3,0.83,0.45,33,12,18,10.8458951000329,4.94107857363892,9.87324865931742,1,1,3,3,3,1,11.6006098693472,4.69631381072697,9.89818773638091,"1"
1,16,0.67,0.5,0.5,15,20,18,10.8947780724356,19.5376738160773,12.657451124497,3,3,2,1,1,2,10.0741791232445,19.7569794407185,13.1938584656624,"2"
1,17,0.83,0.67,0.25,12,15,33,10.3890169423685,14.4159851472009,13.1768141236857,3,3,3,1,1,1,9.48819123976264,14.1819461898052,14.2717921608554,"3"
1,18,0.67,0.3,0.3,15,33,30,10.9128782357987,9.23110538275567,1.70646696185311,3,3,2,1,1,3,9.47932074100235,9.85526625536928,3.64720543485384,"2"
