"trial_id","probA","probB","probC","payoffA","payoffB","payoffC","payoffprior_mean","payoffprior_sd","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
5,0.276625066995621,0.611390001839027,0.104579015634954,109.098391512286,90.7197189492565,112.401808380031,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,2,27.5369284030537,62.4299457646252,-1.76668433077462,"<",">","=",">","<","<"
5,0.276625066995621,0.611390001839027,0.104579015634954,109.098391512286,90.7197189492565,112.401808380031,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,2,16.4700127632153,75.6691756818054,18.8420553520221,"<",">","=",">","<","<"
29,0.590698559070006,0.608104501850903,0.036242185626179,95.2188710063334,94.052371469928,77.4206178297164,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,1,54.5878487036172,43.071585792514,-15.562634121065,"=",">",">",">",">",">"
29,0.590698559070006,0.608104501850903,0.036242185626179,95.2188710063334,94.052371469928,77.4206178297164,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,2,69.7222861907038,79.5434261606057,20.744622594621,"=",">",">","=",">",">"
36,0.589190172264352,0.590337146539241,0.599939006846398,120.682733319583,115.831898584809,89.5740925464747,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,1,65.2912335474543,73.8080336791865,57.8300029150701,"=","=","=",">",">",">"
36,0.589190172264352,0.590337146539241,0.599939006846398,120.682733319583,115.831898584809,89.5740925464747,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,1,90.6701143090888,79.6582922608133,72.7800131549185,"=","=",">",">",">",">"
65,0.8130226098001,0.905780049273744,0.429309038445353,85.7619279811351,84.9631015007212,89.2460145463519,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,2,80.3472093163946,65.5747860561796,38.221652342541,"=",">",">","=","<",">"
65,0.8130226098001,0.905780049273744,0.429309038445353,85.7619279811351,84.9631015007212,89.2460145463519,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,2,56.3788117565057,86.7750029891703,1.35620800269664,"=",">",">","=","<","<"
70,0.474308581091464,0.718592978315428,0.505021919729188,109.056676801681,94.8925993749387,102.156820047572,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,2,51.866429404363,67.1841784066003,52.6429677609516,"<","=",">",">",">","<"
70,0.474308581091464,0.718592978315428,0.505021919729188,109.056676801681,94.8925993749387,102.156820047572,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,2,35.2632892512887,71.7718186438048,63.8803084754274,"=","<",">","<",">","<"
86,0.692348171724007,0.619780090870336,0.743694375501946,102.735136048085,82.758832431928,95.1040347942725,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,3,63.8654915067995,42.2111500063301,72.0955728376745,"=","=","<",">",">","<"
86,0.692348171724007,0.619780090870336,0.743694375501946,102.735136048085,82.758832431928,95.1040347942725,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,3,76.9912592610137,49.4655559613794,60.9627495674676,"=","=","<",">","<","<"
87,0.554127486655489,0.657960385084152,0.060285960091278,108.653913356267,103.48606586835,87.4155105957272,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,1,61.6476318115878,59.7830563966251,-11.1581028433888,">","=",">",">",">",">"
87,0.554127486655489,0.657960385084152,0.060285960091278,108.653913356267,103.48606586835,87.4155105957272,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,2,23.5280927560901,69.2959027307839,5.01650346182874,"=",">",">",">",">",">"
96,0.806567038875073,0.823177302256227,0.0134278808254749,103.441692428766,102.700714421133,89.0407979488263,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,2,81.2546267028137,80.4449206975046,-2.14542370735213,"=",">",">","=",">",">"
96,0.806567038875073,0.823177302256227,0.0134278808254749,103.441692428766,102.700714421133,89.0407979488263,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,1,125.92929622232,88.1833963137014,15.383163727646,"=",">",">","=",">",">"
97,0.805069176014513,0.808355041081086,0.815898363245651,113.27395835912,105.266713249819,104.830591303132,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,1,106.105959403876,87.1525819975571,81.320554557999,"=","=","=",">",">","<"
97,0.805069176014513,0.808355041081086,0.815898363245651,113.27395835912,105.266713249819,104.830591303132,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,1,98.5502291974459,77.7131372481522,116.533733626334,"=","=","=",">",">","="
115,0.227528377901763,0.0851266048848629,0.216898750979453,74.0134845074292,85.5446660541855,101.047374269465,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,3,4.68963431599145,18.6612695421386,25.4979704724837,">","=","=","<","<","<"
115,0.227528377901763,0.0851266048848629,0.216898750979453,74.0134845074292,85.5446660541855,101.047374269465,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,3,-6.7485905292741,-7.83316690812217,-2.68270723049617,">","=","<","<","<","<"
162,0.0821233207825571,0.617868362693116,0.666280725039542,76.0294763940676,110.804868975823,91.4595690395914,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,2,-1.4045950690938,59.7284869021603,61.4511449538282,"<","<","=","<","<",">"
162,0.0821233207825571,0.617868362693116,0.666280725039542,76.0294763940676,110.804868975823,91.4595690395914,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,3,-16.7206007397046,65.1694893621589,65.1445540195172,"<","<","<","<","<",">"
166,0.386468475218862,0.365636523347348,0.344376511871815,100.850516466895,92.9918142824868,103.885496825685,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,1,45.1854068193099,25.5606351514717,34.3906820502337,"=","=","=",">","<","<"
166,0.386468475218862,0.365636523347348,0.344376511871815,100.850516466895,92.9918142824868,103.885496825685,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,3,14.5691344283798,-5.97132389273344,39.6823213411337,"=","=","=",">","<","<"
169,0.575815354008228,0.590544210514054,0.447252874961123,103.893634545021,98.4879953125195,104.798046582107,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,2,45.8976910094571,57.8667116101785,46.5669995579128,"=","=",">",">","=","<"
169,0.575815354008228,0.590544210514054,0.447252874961123,103.893634545021,98.4879953125195,104.798046582107,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,2,73.6165098803482,53.3087784284887,79.538914514797,"<",">",">",">","=","<"
214,0.687268805224449,0.664071421371773,0.403690610779449,94.4881691226533,95.4350681941904,88.8288547471649,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,1,80.9475359251796,51.9344820805204,46.6939535630808,"=",">",">","=",">",">"
214,0.687268805224449,0.664071421371773,0.403690610779449,94.4881691226533,95.4350681941904,88.8288547471649,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,2,46.3211267919797,40.071635369932,24.8803057016974,"=",">",">","=",">",">"
257,0.342883794568479,0.410962379537523,0.241007965058088,113.016915487093,106.123879485126,98.5049211046923,100,10,0,8,0.11,1.1,0.1,TRUE,TRUE,2,34.0385483937755,36.4286076967791,22.5955483912777,"=","<",">",">",">",">"
257,0.342883794568479,0.410962379537523,0.241007965058088,113.016915487093,106.123879485126,98.5049211046923,100,10,1,20,0.11,1.1,0.1,TRUE,TRUE,2,44.0135346856815,46.9243194310255,35.1624305534171,"=","=",">",">","<",">"
