modelLabel,cond,position,pA,pB,pD,vA,vB,vD,PayoffMean,ChoicesMadeCount,MaxEV,CorrectEV,LossEV,Achoices,Bchoices,Dchoices,HequalCount,EVtableCount,uBinsHist0,uBinsHist1,uBinsHist2,uBinsHist3,uBinsHist4,uBinsHist5,uBinsHist6,uBinsHist7,uBinsHist8,uBinsHist9,uBinsHist10,uBinsHist11,uBinsHist12,uBinsHist13,uBinsHist14,uBinsHist15,uBinsHist16,uBinsHist17,uBinsHist18,uBinsHist19,uBinsHist20,uBinsHist21,uBinsHist22,uBinsHist23,uBinsHist24,uBinsHist25,uBinsHist26,uBinsHist27,uBinsHist28,uBinsHist29,uBinsHist30,uBinsHist31,uBinsHist32,uBinsHist33,uBinsHist34,uBinsHist35,uBinsHist36,uBinsHist37,uBinsHist38,uBinsHist39,uBinsHist40,uBinsHist41,uBinsHist42,uBinsHist43,uBinsHist44,uBinsHist45,uBinsHist46,uBinsHist47,uBinsHist48,uBinsHist49,uBinsHist50,uBinsHist51,uBinsHist52,uBinsHist53,uBinsHist54,uBinsHist55,uBinsHist56,uBinsHist57,uBinsHist58,uBinsHist59,uBinsHist60,uBinsHist61,uBinsHist62,uBinsHist63,uBinsHist64,uBinsHist65,uBinsHist66,uBinsHist67,uBinsHist68,uBinsHist69,uBinsHist70,uBinsHist71,uBinsHist72,uBinsHist73,uBinsHist74,uBinsHist75,uBinsHist76,uBinsHist77,uBinsHist78,uBinsHist79
model1.1,X,fixExp,0.500501,0.500000,0.499501,99.900002,100.000000,100.099998,50.000000,4,50.000000,1,0.000000,3,0,1,0,6.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
model1.1,X,fixExp,0.501224,0.500000,0.498782,99.755882,100.000000,100.244118,50.000000,4,50.000000,1,0.000000,1,1,2,0,6.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
model1.1,X,fixExp,0.501949,0.500000,0.498066,99.611763,100.000000,100.388237,50.000000,6,50.000000,3,0.000001,1,3,2,0,6.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
model1.1,X,fixExp,0.502676,0.500000,0.497352,99.467644,100.000000,100.532356,50.000000,7,50.000000,3,0.000000,3,1,3,0,6.571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
model1.1,X,fixExp,0.503405,0.500000,0.496640,99.323532,100.000000,100.676468,50.000000,15,50.000000,1,0.000000,6,1,8,0,5.266667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
model1.1,X,fixExp,0.504137,0.500000,0.495930,99.179413,100.000000,100.820587,49.999996,6,50.000000,1,0.000003,4,1,1,0,5.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
model1.1,X,fixExp,0.504871,0.500000,0.495223,99.035294,100.000000,100.964706,50.000000,9,50.000000,1,0.000000,6,1,2,0,5.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
model1.1,X,fixExp,0.505606,0.500000,0.494517,98.891174,100.000000,101.108826,50.000000,4109,50.000000,1674,0.000000,1674,435,2000,0,9.542472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12327
model1.1,X,fixExp,0.506344,0.500000,0.493813,98.747055,100.000000,101.252945,50.000000,4278,50.000004,2153,0.000004,1675,450,2153,0,9.665274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12834
model1.1,X,fixExp,0.507084,0.500000,0.493111,98.602943,100.000000,101.397057,50.000000,4026,50.000000,450,0.000000,1611,450,1965,0,9.575251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12078
model1.1,X,fixExp,0.507827,0.500000,0.492411,98.458824,100.000000,101.541176,50.000000,4137,50.000000,450,0.000000,1655,450,2032,0,9.514383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12411
model1.1,X,fixExp,0.508571,0.500000,0.491713,98.314705,100.000000,101.685295,50.000000,4155,50.000000,1619,0.000000,1619,457,2079,0,9.668117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12465
model1.1,X,fixExp,0.509318,0.500000,0.491017,98.170586,100.000000,101.829414,50.000004,4188,50.000004,2088,0.000004,1667,433,2088,0,9.637293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12564
model1.1,X,fixExp,0.510066,0.500000,0.490323,98.026474,100.000000,101.973526,50.000000,4175,50.000004,1687,0.000004,1687,479,2009,0,9.521922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12525
