modelLabel,cond,position,pA,pB,pD,vA,vB,vD,PayoffMean,ChoicesMadeCount,MaxEV,CorrectEV,LossEV,Achoices,Bchoices,Dchoices,HequalCount,EVtableCount,uBinsHist0,uBinsHist1,uBinsHist2,uBinsHist3,uBinsHist4,uBinsHist5,uBinsHist6,uBinsHist7,uBinsHist8,uBinsHist9,uBinsHist10,uBinsHist11,uBinsHist12,uBinsHist13,uBinsHist14,uBinsHist15,uBinsHist16,uBinsHist17,uBinsHist18,uBinsHist19,uBinsHist20,uBinsHist21,uBinsHist22,uBinsHist23,uBinsHist24,uBinsHist25,uBinsHist26,uBinsHist27,uBinsHist28,uBinsHist29,uBinsHist30,uBinsHist31,uBinsHist32,uBinsHist33,uBinsHist34,uBinsHist35,uBinsHist36,uBinsHist37,uBinsHist38,uBinsHist39,uBinsHist40,uBinsHist41,uBinsHist42,uBinsHist43,uBinsHist44,uBinsHist45,uBinsHist46,uBinsHist47,uBinsHist48,uBinsHist49,uBinsHist50,uBinsHist51,uBinsHist52,uBinsHist53,uBinsHist54,uBinsHist55,uBinsHist56,uBinsHist57,uBinsHist58,uBinsHist59,uBinsHist60,uBinsHist61,uBinsHist62,uBinsHist63,uBinsHist64,uBinsHist65,uBinsHist66,uBinsHist67,uBinsHist68,uBinsHist69,uBinsHist70,uBinsHist71,uBinsHist72,uBinsHist73,uBinsHist74,uBinsHist75,uBinsHist76,uBinsHist77,uBinsHist78,uBinsHist79
model1.1,X,horesrace,0.414200,0.706260,0.186426,102.979904,108.178093,103.446381,74.688766,1000000,76.401901,949735,33.747654,50265,949735,0,0,3430864.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,999803,2000000
model1.1,X,horesrace,0.899946,0.584393,0.028944,108.884315,102.833023,100.078598,96.101112,1000000,97.990051,949898,37.895161,949898,50102,0,0,128082.468750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,17,40,131,303,858,1997,4490,9620,19099,35122,58355,89570,122921,149437,158079,142283,105614,62529,28241,9029,1987,259,12,0,0,0,0,0,0,0,0,0,0,2000000
model1.1,X,horesrace,0.350839,0.518001,0.486298,100.845131,105.825134,99.778976,54.415421,1000000,54.817528,947086,7.204535,3661,947086,49253,0,2000402.625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000
model1.1,X,horesrace,0.539974,0.611582,0.061681,100.825844,106.538109,106.441284,64.629700,1000000,65.156784,950073,10.713440,49927,950073,0,0,141223.390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,50,656,6897,51161,221696,434143,259377,25879,136,0,0,0,0,2000000
model1.1,X,horesrace,0.276625,0.611390,0.104579,104.549194,95.359863,106.200905,58.302067,1000000,58.302067,1000000,0.000000,0,1000000,0,0,813985.687500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,409887,589551,5,999968,1000032
model1.1,X,horesrace,0.439016,0.146415,0.774639,92.589058,104.305656,97.977402,74.119247,1000000,75.897095,949855,35.249008,50145,0,949855,0,2367952.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,999967,5,2000000
model1.1,X,horesrace,0.589946,0.175127,0.679355,96.812279,106.718544,100.907677,67.970627,1000000,68.552132,949742,11.438141,50258,0,949742,0,7481586.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8937,991063,2000000
model1.1,X,horesrace,0.098090,0.954299,0.794175,95.689270,100.494217,98.121727,94.968246,1000000,95.901535,950188,17.975708,0,950188,49812,0,807597.375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,23104,554966,421161,660,0,0,2000000
model1.1,X,horesrace,0.234562,0.963862,0.746573,96.881371,99.601837,102.178123,94.987762,1000000,96.002472,949769,19.719086,0,949769,50231,0,8689534.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,2000000
model1.1,X,horesrace,0.024368,0.724666,0.709700,103.479836,99.221680,106.744492,72.216774,1000000,75.756523,50334,3.853966,0,949666,50334,0,114323.414062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,43,99,223,632,1463,3218,6613,12825,23309,39763,61895,88450,115913,136462,143897,132686,104490,69120,37289,15303,5054,1062,164,12,2,0,0,0,0,0,0,0,0,0,0,2000000
model1.1,X,horesrace,0.857358,0.143562,0.905362,110.318474,100.656914,98.841560,89.837341,1000000,94.582390,50113,5.095032,50113,0,949887,0,2626922.750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9799,990201,0,2000000
model1.1,X,horesrace,0.654447,0.186885,0.299385,99.143631,100.793381,97.571678,64.881714,1000000,64.884285,999975,35.672752,999975,0,25,0,1787646.625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3793,1995883,1000324
model1.1,X,horesrace,0.831197,0.428373,0.235229,98.152298,101.187691,96.670387,79.680420,1000000,81.583893,949957,38.237793,949957,50043,0,0,8689511.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,2000000
model1.1,X,horesrace,0.787219,0.520615,0.099060,98.929253,97.126274,92.646362,76.498268,1000000,77.878944,949938,27.313557,949938,50062,0,0,761854.687500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,521,56582,673792,268958,143,0,0,2000000
model1.1,X,horesrace,0.849137,0.904313,0.799056,94.346733,101.843742,98.990982,91.421364,1000000,92.098610,946158,12.089274,48398,946158,5444,0,4873064.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000
model1.1,X,horesrace,0.899315,0.787568,0.436802,103.073990,103.439743,99.764748,91.540405,1000000,92.696014,908843,12.910857,908843,87113,4044,0,1959861.375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000
