modelLabel,cond,position,pA,pB,pD,vA,vB,vD,PayoffMean,ChoicesMadeCount,MaxEV,CorrectEV,LossEV,Achoices,Bchoices,Dchoices,HequalCount,EVtableCount,uBinsHist0,uBinsHist1,uBinsHist2,uBinsHist3,uBinsHist4,uBinsHist5,uBinsHist6,uBinsHist7,uBinsHist8,uBinsHist9,uBinsHist10,uBinsHist11,uBinsHist12,uBinsHist13,uBinsHist14,uBinsHist15,uBinsHist16,uBinsHist17,uBinsHist18,uBinsHist19,uBinsHist20,uBinsHist21,uBinsHist22,uBinsHist23,uBinsHist24,uBinsHist25,uBinsHist26,uBinsHist27,uBinsHist28,uBinsHist29,uBinsHist30,uBinsHist31,uBinsHist32,uBinsHist33,uBinsHist34,uBinsHist35,uBinsHist36,uBinsHist37,uBinsHist38,uBinsHist39,uBinsHist40,uBinsHist41,uBinsHist42,uBinsHist43,uBinsHist44,uBinsHist45,uBinsHist46,uBinsHist47,uBinsHist48,uBinsHist49,uBinsHist50,uBinsHist51,uBinsHist52,uBinsHist53,uBinsHist54,uBinsHist55,uBinsHist56,uBinsHist57,uBinsHist58,uBinsHist59,uBinsHist60,uBinsHist61,uBinsHist62,uBinsHist63,uBinsHist64,uBinsHist65,uBinsHist66,uBinsHist67,uBinsHist68,uBinsHist69,uBinsHist70,uBinsHist71,uBinsHist72,uBinsHist73,uBinsHist74,uBinsHist75,uBinsHist76,uBinsHist77,uBinsHist78,uBinsHist79
model1.1,X,horesrace,0.414200,0.706260,0.186426,102.979904,108.178093,103.446381,74.135727,994424,76.401901,933481,36.728374,53171,933481,7772,0,559628.812500,0,244227,130969,49512,28341,19321,14311,11355,9157,7782,6635,5854,5191,4692,4382,3899,3630,3447,3146,2943,2868,2767,2660,2398,2332,2282,2256,2138,2154,1996,2021,1944,1929,1895,1944,1853,1913,1846,1878,1915,1826,1867,1830,1883,1848,1940,2038,2037,1954,2092,2047,2108,2177,2328,2356,2538,2521,2618,2769,2912,3045,3256,3529,3893,3986,4504,5003,5379,6109,6986,8114,9420,11378,14253,18924,26503,41232,77952,266986,1817348
model1.1,X,horesrace,0.899946,0.584393,0.028944,108.884315,102.833023,100.078598,95.613037,998905,97.990051,942706,41.908646,942706,52255,3944,0,1607148.375000,0,289049,123422,44690,25283,17271,12563,10081,7950,6798,6053,5094,4526,4186,3740,3425,3174,2976,2950,2714,2538,2413,2232,2214,2112,1969,1933,1935,1987,1824,1857,1772,1699,1688,1716,1740,1651,1680,1594,1622,1557,1615,1707,1661,1651,1692,1705,1682,1799,1832,1814,1828,1946,2000,2042,2196,2238,2311,2511,2590,2774,2829,3015,3273,3503,3870,4310,4623,5212,5941,6730,7764,9573,12018,15545,21882,33953,63445,216105,1917852
model1.1,X,horesrace,0.350839,0.518001,0.486298,100.845131,105.825134,99.778976,54.267742,992580,54.817528,925391,8.164180,9555,925391,57634,0,555418.375000,0,191386,119830,47196,27317,18647,14022,10957,8966,7791,6444,5798,5135,4647,4289,3680,3545,3325,3132,2951,2832,2636,2537,2393,2360,2323,2126,2152,2072,1959,1948,2042,1930,1879,1907,1820,1882,1786,1793,1868,1825,1872,1851,1841,1917,1841,1838,1978,1988,2012,2057,2152,2143,2265,2310,2464,2513,2631,2834,2885,3138,3277,3651,3794,4219,4542,4926,5455,6195,7068,8109,9632,11627,14739,19381,26977,42101,81767,287177,1855445
model1.1,X,horesrace,0.539974,0.611582,0.061681,100.825844,106.538109,106.441284,63.762997,993559,65.156784,924774,20.157631,55217,924774,13568,0,537177.312500,0,296873,140930,52057,29511,20150,14791,11566,9594,8068,6792,6120,5457,4860,4248,3900,3723,3358,3171,3012,2934,2748,2537,2617,2414,2341,2242,2227,2124,2090,1990,2025,2013,1943,1900,1899,1972,1852,1835,1868,1804,1873,1856,1860,1915,1887,1983,1997,2011,2107,2251,2145,2332,2278,2396,2466,2585,2745,2908,2910,3181,3279,3554,3895,4015,4460,4922,5505,6255,7004,8051,9572,11420,14427,18818,26685,41017,77791,264500,1746265
model1.1,X,horesrace,0.276625,0.611390,0.104579,104.549194,95.359863,106.200905,55.731186,994495,58.302067,918751,33.642586,57626,918751,18118,0,941269.562500,0,352635,170799,62933,35764,24070,18007,13911,11414,9825,8224,7215,6441,5807,5267,4890,4477,4231,3978,3619,3419,3269,3184,2973,2873,2845,2724,2743,2553,2589,2495,2342,2466,2348,2322,2357,2216,2323,2289,2332,2314,2154,2237,2296,2268,2301,2260,2442,2594,2480,2476,2632,2621,2809,2770,2976,3146,3142,3403,3531,3802,3882,4225,4537,4863,5354,5752,6606,7182,8267,9420,11001,13427,16889,21584,30646,46637,88297,294348,1537745
model1.1,X,horesrace,0.439016,0.146415,0.774639,92.589058,104.305656,97.977402,72.845161,997153,75.897095,925410,42.166565,52186,19557,925410,0,1245325.875000,0,269818,139035,52059,29975,20418,15226,11912,9905,8209,7093,6306,5387,5005,4455,4135,3806,3544,3395,3137,3006,2718,2796,2714,2516,2490,2375,2310,2310,2199,2155,2047,2043,2039,1970,2054,1990,2040,1965,1934,1909,2015,1890,2049,1988,2039,2066,2033,2132,2138,2219,2242,2378,2511,2566,2473,2722,2829,2909,3136,3310,3451,3640,3956,4234,4625,5129,5665,6389,7253,8290,9650,11834,14781,19215,26688,41674,79225,268989,1768726
model1.1,X,horesrace,0.589946,0.175127,0.679355,96.812279,106.718544,100.907677,66.889709,997549,68.552132,922932,21.909294,54283,20334,922932,0,1407946.125000,0,223537,121791,46496,26984,18128,13607,10920,8710,7560,6558,5570,5166,4517,4235,3882,3523,3366,3048,3014,2782,2529,2613,2397,2255,2263,2165,2098,1996,2009,1941,1902,1871,1970,1898,1871,1916,1910,1905,1814,1814,1812,1752,1792,1942,1960,1917,1972,1991,2039,2020,2143,2126,2121,2378,2369,2494,2648,2736,2955,3085,3268,3516,3679,3930,4371,4773,5298,6046,6673,7774,9240,11025,13933,18358,25361,39602,76063,264166,1876788
model1.1,X,horesrace,0.098090,0.954299,0.794175,95.689270,100.494217,98.121727,94.628479,999361,95.901535,942311,22.394663,3678,942311,53372,0,1826848.000000,0,230364,103599,38441,22080,14935,10882,8521,7235,6020,5191,4546,4114,3595,3296,3043,2830,2683,2429,2409,2202,2104,1972,1968,1886,1832,1688,1669,1631,1577,1569,1553,1571,1565,1499,1595,1469,1530,1475,1431,1389,1480,1499,1445,1535,1459,1544,1594,1582,1658,1634,1659,1750,1838,1841,1954,2077,2137,2140,2249,2439,2530,2618,2855,3121,3426,3734,4007,4569,5273,5975,7064,8511,10780,14024,19595,30572,57514,201343,2063670
model1.1,X,horesrace,0.234562,0.963862,0.746573,96.881371,99.601837,102.178123,94.197464,999366,96.002472,921827,23.168600,4994,921827,72545,0,1930148.500000,0,163262,89195,34121,20032,13608,10243,8042,6604,5481,4769,4260,3788,3378,3210,2818,2683,2474,2319,2148,2061,2008,1921,1830,1790,1750,1686,1663,1528,1469,1474,1459,1476,1433,1462,1399,1333,1360,1425,1332,1350,1376,1476,1470,1380,1444,1408,1505,1534,1528,1583,1605,1605,1702,1863,1754,1997,1892,2173,2199,2350,2400,2663,2759,3028,3276,3622,4075,4447,5130,6064,6962,8416,10611,13963,19545,30255,58380,207295,2155719
model1.1,X,horesrace,0.024368,0.724666,0.709700,103.479836,99.221680,106.744492,71.684135,998435,75.756523,75509,4.290614,5806,917120,75509,0,1535090.375000,0,287982,124398,45125,25663,17711,12854,10045,8294,6903,6020,5247,4711,4344,3830,3519,3306,3013,2817,2696,2491,2477,2336,2264,2182,2133,2047,1925,1891,1854,1778,1739,1703,1705,1754,1739,1701,1675,1689,1684,1689,1664,1679,1744,1753,1756,1774,1778,1830,1843,1894,1872,2003,2047,2309,2243,2350,2362,2538,2604,2803,2963,3040,3352,3698,3920,4345,4705,5288,6150,7110,8195,9953,12251,16009,22687,34864,66272,227743,1892980
