"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"1","0",3,0.0078,0.84,0.028,23,10,17,"A",0,TRUE
"2","0",5,0.94,0.1,0.6,22,24,23,"A",1,TRUE
"3","0",12,0.57,0.59,0.21,18,12,14,"A",0.6,TRUE
"4","0",14,0.88,0.19,0.96,19,10,14,"A",0.9,TRUE
"5","0",15,0.56,0.35,0.96,23,30,21,"A",0.05,TRUE
"6","0",16,0.59,0.35,0.84,25,24,21,"A",0.25,TRUE
"7","0",19,0.42,0.14,0.14,13,28,17,"A",0.75,TRUE
"8","0",20,0.9,0.59,0.52,10,14,17,"A",0.45,TRUE
"9","0",22,0.17,0.85,0.23,24,19,26,"A",0,TRUE
"10","0",23,0.17,0.61,0.23,20,11,27,"A",0.05,TRUE
"11","0",25,0.23,0.31,0.24,21,12,22,"A",0.1,TRUE
"12","0",26,0.091,0.49,0.23,24,12,15,"A",0.05,TRUE
"13","0",27,0.091,0.34,0.084,19,15,16,"A",0.1,TRUE
"14","0",28,0.091,0.49,0.15,17,12,26,"A",0.05,TRUE
"15","0",32,0.23,0.35,0.28,21,19,24,"A",0,TRUE
"16","0",34,0.68,0.68,0.57,19,14,25,"A",0.55,TRUE
"17","0",36,0.68,0.52,0.57,11,25,11,"A",0.2,TRUE
"18","0",37,0.6,0.52,0.71,20,24,15,"A",0.3,TRUE
"19","0",45,0.03,0.24,0.58,27,30,24,"A",0,TRUE
"20","0",46,0.6,0.95,0.63,12,12,16,"A",0,TRUE
"21","0",47,0.53,0.12,0.15,12,10,26,"A",0.9,TRUE
"22","1",3,0.0078,0.84,0.028,23,10,17,"A",0.05,TRUE
"23","1",5,0.94,0.1,0.6,22,24,23,"A",0.75,TRUE
"24","1",12,0.57,0.59,0.21,18,12,14,"A",0.9,TRUE
"25","1",14,0.88,0.19,0.96,19,10,14,"A",0.45,TRUE
"26","1",15,0.56,0.35,0.96,23,30,21,"A",0.5,TRUE
"27","1",16,0.59,0.35,0.84,25,24,21,"A",0.45,TRUE
"28","1",19,0.42,0.14,0.14,13,28,17,"A",0.5,TRUE
"29","1",20,0.9,0.59,0.52,10,14,17,"A",0.25,TRUE
"30","1",22,0.17,0.85,0.23,24,19,26,"A",0,TRUE
"31","1",23,0.17,0.61,0.23,20,11,27,"A",0,TRUE
"32","1",25,0.23,0.31,0.24,21,12,22,"A",0.25,TRUE
"33","1",26,0.091,0.49,0.23,24,12,15,"A",0.15,TRUE
"34","1",27,0.091,0.34,0.084,19,15,16,"A",0.25,TRUE
"35","1",28,0.091,0.49,0.15,17,12,26,"A",0.1,TRUE
"36","1",32,0.23,0.35,0.28,21,19,24,"A",0.05,TRUE
"37","1",34,0.68,0.68,0.57,19,14,25,"A",0.95,TRUE
"38","1",36,0.68,0.52,0.57,11,25,11,"A",0.95,TRUE
"39","1",37,0.6,0.52,0.71,20,24,15,"A",0.5,TRUE
"40","1",45,0.03,0.24,0.58,27,30,24,"A",0,TRUE
"41","1",46,0.6,0.95,0.63,12,12,16,"A",0,TRUE
"42","1",47,0.53,0.12,0.15,12,10,26,"A",0.6,TRUE
"43","0",3,0.0078,0.84,0.028,23,10,17,"B",0.95,TRUE
"44","0",5,0.94,0.1,0.6,22,24,23,"B",0,TRUE
"45","0",12,0.57,0.59,0.21,18,12,14,"B",0.4,TRUE
"46","0",14,0.88,0.19,0.96,19,10,14,"B",0,TRUE
"47","0",15,0.56,0.35,0.96,23,30,21,"B",0,TRUE
"48","0",16,0.59,0.35,0.84,25,24,21,"B",0,TRUE
"49","0",19,0.42,0.14,0.14,13,28,17,"B",0.25,TRUE
"50","0",20,0.9,0.59,0.52,10,14,17,"B",0.35,TRUE
"51","0",22,0.17,0.85,0.23,24,19,26,"B",0.95,TRUE
"52","0",23,0.17,0.61,0.23,20,11,27,"B",0.45,TRUE
"53","0",25,0.23,0.31,0.24,21,12,22,"B",0.45,TRUE
"54","0",26,0.091,0.49,0.23,24,12,15,"B",0.8,TRUE
"55","0",27,0.091,0.34,0.084,19,15,16,"B",0.9,TRUE
"56","0",28,0.091,0.49,0.15,17,12,26,"B",0.65,TRUE
"57","0",32,0.23,0.35,0.28,21,19,24,"B",0.5,TRUE
"58","0",34,0.68,0.68,0.57,19,14,25,"B",0.1,TRUE
"59","0",36,0.68,0.52,0.57,11,25,11,"B",0.8,TRUE
"60","0",37,0.6,0.52,0.71,20,24,15,"B",0.4,TRUE
"61","0",45,0.03,0.24,0.58,27,30,24,"B",0.05,TRUE
"62","0",46,0.6,0.95,0.63,12,12,16,"B",0.45,TRUE
"63","0",47,0.53,0.12,0.15,12,10,26,"B",0,TRUE
"64","1",3,0.0078,0.84,0.028,23,10,17,"B",0.5,TRUE
"65","1",5,0.94,0.1,0.6,22,24,23,"B",0.1,TRUE
"66","1",12,0.57,0.59,0.21,18,12,14,"B",0.05,TRUE
"67","1",14,0.88,0.19,0.96,19,10,14,"B",0,TRUE
"68","1",15,0.56,0.35,0.96,23,30,21,"B",0,TRUE
"69","1",16,0.59,0.35,0.84,25,24,21,"B",0.05,TRUE
"70","1",19,0.42,0.14,0.14,13,28,17,"B",0.4,TRUE
"71","1",20,0.9,0.59,0.52,10,14,17,"B",0.6,TRUE
"72","1",22,0.17,0.85,0.23,24,19,26,"B",0.25,TRUE
"73","1",23,0.17,0.61,0.23,20,11,27,"B",0.25,TRUE
"74","1",25,0.23,0.31,0.24,21,12,22,"B",0.55,TRUE
"75","1",26,0.091,0.49,0.23,24,12,15,"B",0.35,TRUE
"76","1",27,0.091,0.34,0.084,19,15,16,"B",0.7,TRUE
"77","1",28,0.091,0.49,0.15,17,12,26,"B",0.2,TRUE
"78","1",32,0.23,0.35,0.28,21,19,24,"B",0.15,TRUE
"79","1",34,0.68,0.68,0.57,19,14,25,"B",0.05,TRUE
"80","1",36,0.68,0.52,0.57,11,25,11,"B",0,TRUE
"81","1",37,0.6,0.52,0.71,20,24,15,"B",0.1,TRUE
"82","1",45,0.03,0.24,0.58,27,30,24,"B",0.35,TRUE
"83","1",46,0.6,0.95,0.63,12,12,16,"B",0.65,TRUE
"84","1",47,0.53,0.12,0.15,12,10,26,"B",0,TRUE
"85","0",3,0.0078,0.84,0.028,23,10,17,"C",0.05,TRUE
"86","0",5,0.94,0.1,0.6,22,24,23,"C",0,TRUE
"87","0",12,0.57,0.59,0.21,18,12,14,"C",0,TRUE
"88","0",14,0.88,0.19,0.96,19,10,14,"C",0.1,TRUE
"89","0",15,0.56,0.35,0.96,23,30,21,"C",0.95,TRUE
"90","0",16,0.59,0.35,0.84,25,24,21,"C",0.75,TRUE
"91","0",19,0.42,0.14,0.14,13,28,17,"C",0,TRUE
"92","0",20,0.9,0.59,0.52,10,14,17,"C",0.2,TRUE
"93","0",22,0.17,0.85,0.23,24,19,26,"C",0.05,TRUE
"94","0",23,0.17,0.61,0.23,20,11,27,"C",0.5,TRUE
"95","0",25,0.23,0.31,0.24,21,12,22,"C",0.45,TRUE
"96","0",26,0.091,0.49,0.23,24,12,15,"C",0.15,TRUE
"97","0",27,0.091,0.34,0.084,19,15,16,"C",0,TRUE
"98","0",28,0.091,0.49,0.15,17,12,26,"C",0.3,TRUE
"99","0",32,0.23,0.35,0.28,21,19,24,"C",0.5,TRUE
"100","0",34,0.68,0.68,0.57,19,14,25,"C",0.35,TRUE
"101","0",36,0.68,0.52,0.57,11,25,11,"C",0,TRUE
"102","0",37,0.6,0.52,0.71,20,24,15,"C",0.3,TRUE
"103","0",45,0.03,0.24,0.58,27,30,24,"C",0.95,TRUE
"104","0",46,0.6,0.95,0.63,12,12,16,"C",0.55,TRUE
"105","0",47,0.53,0.12,0.15,12,10,26,"C",0.1,TRUE
"106","1",3,0.0078,0.84,0.028,23,10,17,"C",0.45,TRUE
"107","1",5,0.94,0.1,0.6,22,24,23,"C",0.15,TRUE
"108","1",12,0.57,0.59,0.21,18,12,14,"C",0.05,TRUE
"109","1",14,0.88,0.19,0.96,19,10,14,"C",0.55,TRUE
"110","1",15,0.56,0.35,0.96,23,30,21,"C",0.5,TRUE
"111","1",16,0.59,0.35,0.84,25,24,21,"C",0.5,TRUE
"112","1",19,0.42,0.14,0.14,13,28,17,"C",0.1,TRUE
"113","1",20,0.9,0.59,0.52,10,14,17,"C",0.15,TRUE
"114","1",22,0.17,0.85,0.23,24,19,26,"C",0.75,TRUE
"115","1",23,0.17,0.61,0.23,20,11,27,"C",0.75,TRUE
"116","1",25,0.23,0.31,0.24,21,12,22,"C",0.2,TRUE
"117","1",26,0.091,0.49,0.23,24,12,15,"C",0.5,TRUE
"118","1",27,0.091,0.34,0.084,19,15,16,"C",0.05,TRUE
"119","1",28,0.091,0.49,0.15,17,12,26,"C",0.7,TRUE
"120","1",32,0.23,0.35,0.28,21,19,24,"C",0.8,TRUE
"121","1",34,0.68,0.68,0.57,19,14,25,"C",0,TRUE
"122","1",36,0.68,0.52,0.57,11,25,11,"C",0.05,TRUE
"123","1",37,0.6,0.52,0.71,20,24,15,"C",0.4,TRUE
"124","1",45,0.03,0.24,0.58,27,30,24,"C",0.65,TRUE
"125","1",46,0.6,0.95,0.63,12,12,16,"C",0.35,TRUE
"126","1",47,0.53,0.12,0.15,12,10,26,"C",0.4,TRUE
