"ppntid","probA","probB","probC","payoffA","payoffB","payoffC","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","trial_id","row_id","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",1,"1",10.203212363647,10.0362120568236,8.44153428942361,"<","=","=",">","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",2,"2",10.9271577660126,10.4916395512655,8.71374580051347,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",3,"1",10.0249816587455,9.49583819629503,8.37591845349842,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",4,"2",9.82963940553978,9.63052257284146,8.22131494893568,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",5,"2",9.70474661808317,9.73237979833653,9.44357438912506,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",6,"2",9.16173060554386,9.35724617296131,9.33852159215519,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",7,"1",10.6425536160414,10.44563294265,8.61633261694313,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",8,"2",10.2178427037279,10.5066756419801,8.91295339265015,"=",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",9,"2",9.44824579932895,10.0456192551561,8.96770697657696,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",10,"1",10.5020588879541,9.97187020578261,8.6161783437694,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",11,"2",9.44899321965585,10.7689802065892,9.03019886516237,">",">","=","=","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",12,"1",10.0981790463923,9.54004901082932,9.54202502429659,">",">","=","<","=",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",13,"2",9.99731605401144,9.74109695211826,8.58992172732687,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",14,"2",9.83534458014125,10.2956437010462,10.1020618017029,"<",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",15,"2",9.79668134956815,10.7525729640814,8.93784829747781,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",16,"2",9.43148403485579,9.95138731005872,9.43076737775178,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",17,"1",9.62293793799463,8.93342970005122,8.89007423890742,">",">","<",">","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",18,"2",9.55894728232298,9.66620859458618,9.19925879560965,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",19,"2",9.72838540684237,10.4761344961718,9.09332616021564,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",20,"1",10.7844907480384,9.86198273683118,9.53915765801486,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",21,"2",8.97310343984534,10.1741235044104,8.46026453235129,">","=","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",22,"2",9.43581850936284,10.2106045605826,9.00413293217176,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",23,"1",9.75283769958152,8.81300696032368,8.79926567867884,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",24,"2",9.51964186181688,9.91021806673683,8.5494926020514,">",">","=","<","=",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",25,"1",9.69762106865218,9.29958643436918,7.99281155890974,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,10,"wedellFpayoffpriorsd10",26,"2",9.91688607713653,10.0171325256463,8.78653933012721,">",">","=","<","<",">"
