modelLabel,cond,position,pA,pB,pD,vA,vB,vD,PayoffMean,ChoicesMadeCount,MaxEV,CorrectEV,LossEV,Achoices,Bchoices,Dchoices,HequalCount,EVtableCount,uBinsHist0,uBinsHist1,uBinsHist2,uBinsHist3,uBinsHist4,uBinsHist5,uBinsHist6,uBinsHist7,uBinsHist8,uBinsHist9,uBinsHist10,uBinsHist11,uBinsHist12,uBinsHist13,uBinsHist14,uBinsHist15,uBinsHist16,uBinsHist17,uBinsHist18,uBinsHist19,uBinsHist20,uBinsHist21,uBinsHist22,uBinsHist23,uBinsHist24,uBinsHist25,uBinsHist26,uBinsHist27,uBinsHist28,uBinsHist29,uBinsHist30,uBinsHist31,uBinsHist32,uBinsHist33,uBinsHist34,uBinsHist35,uBinsHist36,uBinsHist37,uBinsHist38,uBinsHist39,uBinsHist40,uBinsHist41,uBinsHist42,uBinsHist43,uBinsHist44,uBinsHist45,uBinsHist46,uBinsHist47,uBinsHist48,uBinsHist49,uBinsHist50,uBinsHist51,uBinsHist52,uBinsHist53,uBinsHist54,uBinsHist55,uBinsHist56,uBinsHist57,uBinsHist58,uBinsHist59,uBinsHist60,uBinsHist61,uBinsHist62,uBinsHist63,uBinsHist64,uBinsHist65,uBinsHist66,uBinsHist67,uBinsHist68,uBinsHist69,uBinsHist70,uBinsHist71,uBinsHist72,uBinsHist73,uBinsHist74,uBinsHist75,uBinsHist76,uBinsHist77,uBinsHist78,uBinsHist79
model1.1,Phantom,highRiskDecoy,0.830000,0.498000,0.550000,12.000000,20.000000,22.000000,9.960000,1000000,9.960000,689924,0.000000,689924,310076,0,0,45379.539062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1676,340974,1631549,1016671,9129,0,0
model1.1,Rcomp,lowRiskDecoy,0.830000,0.498000,0.980000,12.000000,20.000000,10.163265,9.960000,1000000,9.960000,313200,0.000000,386105,300695,313200,0,30230.488281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2454,511454,2428028,58064,0,0,0
model1.1,Rcomp,highRiskDecoy,0.830000,0.498000,0.350000,12.000000,20.000000,28.571428,9.977950,1000000,10.000000,313560,0.040000,302102,384338,313560,0,30151.775391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2328,491001,2443932,62737,0,0,0
model1.1,sim,lowRiskDecoy,0.830000,0.498000,0.830000,12.000000,20.000000,12.000000,9.960000,999508,9.960000,304575,0.000000,304575,380084,314849,0,2081.628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2480,511609,2426198,58234,0,0,0
model1.1,sim,highRiskDecoy,0.830000,0.498000,0.500000,12.000000,20.000000,20.000000,9.977877,998052,10.000000,308594,0.040000,388797,300661,308594,0,1845.591187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2280,490105,2440163,61607,0,0,0
model1.1,R,lowRiskDecoy,0.830000,0.664000,0.830000,12.000000,15.000000,10.000000,9.948021,999571,9.960000,398502,0.005503,599075,398502,1994,0,5713.148926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1875,61856,507611,761713,1626434,39191,0,0,0
model1.1,R,highRiskDecoy,0.830000,0.664000,0.620000,12.000000,15.000000,15.000000,9.919760,999997,9.960000,643792,0.070727,318031,643792,38174,0,10110.075195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,35595,949262,1975689,39238,0,0,0
model1.1,F,lowRiskDecoy,0.830000,0.664000,0.780000,12.000000,15.000000,12.000000,9.918392,1000000,9.960000,317327,0.040157,637055,317327,45618,0,11799.721680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,27175,912972,2020494,39201,0,0,0
model1.1,F,highRiskDecoy,0.830000,0.664000,0.670000,12.000000,15.000000,13.000000,9.952937,991541,9.960000,432666,0.003118,432666,557487,1388,0,1930.050659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,9285,251477,1006210,1668651,38930,0,0,0
model1.1,RF,lowRiskDecoy,0.830000,0.664000,0.780000,12.000000,15.000000,10.000000,9.955341,1000000,9.960000,700100,0.003672,700100,299390,510,0,21001.115234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1112,27730,271004,582068,459688,1619234,39134,0,0,0
