"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"1","0",1,0.54,0.61,0.57,25,13,24,"A",0.15,TRUE
"2","0",3,0.53,0.86,0.56,15,14,26,"A",0,TRUE
"3","0",7,0.95,0.99,0.34,20,15,27,"A",0.75,TRUE
"4","0",9,0.45,0.14,0.98,26,13,20,"A",0.1,TRUE
"5","0",20,0.91,0.9,0.77,12,17,23,"A",0,TRUE
"6","0",23,0.04,0.21,0.79,18,27,19,"A",0,TRUE
"7","0",24,0.37,0.4,0.73,18,22,19,"A",0,TRUE
"8","0",27,0.06,0.78,0.75,10,14,26,"A",0,TRUE
"9","0",30,0.81,0.77,0.9,24,29,19,"A",0.15,TRUE
"10","0",37,0.61,0.85,0.17,23,13,29,"A",0.8,TRUE
"11","0",39,0.28,0.58,0.41,12,14,18,"A",0,TRUE
"12","0",43,0.33,0.84,0.72,12,14,22,"A",0,TRUE
"13","0",48,0.61,0.59,0.85,23,11,13,"A",0.8,TRUE
"14","1",1,0.54,0.61,0.57,25,13,24,"A",0,TRUE
"15","1",3,0.53,0.86,0.56,15,14,26,"A",0,TRUE
"16","1",7,0.95,0.99,0.34,20,15,27,"A",0.5,TRUE
"17","1",9,0.45,0.14,0.98,26,13,20,"A",0.35,TRUE
"18","1",20,0.91,0.9,0.77,12,17,23,"A",0.25,TRUE
"19","1",23,0.04,0.21,0.79,18,27,19,"A",0,TRUE
"20","1",24,0.37,0.4,0.73,18,22,19,"A",0,TRUE
"21","1",27,0.06,0.78,0.75,10,14,26,"A",0,TRUE
"22","1",30,0.81,0.77,0.9,24,29,19,"A",0.5,TRUE
"23","1",37,0.61,0.85,0.17,23,13,29,"A",0.5,TRUE
"24","1",39,0.28,0.58,0.41,12,14,18,"A",0,TRUE
"25","1",43,0.33,0.84,0.72,12,14,22,"A",0,TRUE
"26","1",48,0.61,0.59,0.85,23,11,13,"A",0.25,TRUE
"27","0",1,0.54,0.61,0.57,25,13,24,"B",0.05,TRUE
"28","0",3,0.53,0.86,0.56,15,14,26,"B",0.1,TRUE
"29","0",7,0.95,0.99,0.34,20,15,27,"B",0.25,TRUE
"30","0",9,0.45,0.14,0.98,26,13,20,"B",0,TRUE
"31","0",20,0.91,0.9,0.77,12,17,23,"B",0.45,TRUE
"32","0",23,0.04,0.21,0.79,18,27,19,"B",0.05,TRUE
"33","0",24,0.37,0.4,0.73,18,22,19,"B",0.1,TRUE
"34","0",27,0.06,0.78,0.75,10,14,26,"B",0,TRUE
