"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.13,0.44,0.61,13,25,21,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,3.16647779154499,11.1266703544585,14.0640710908947,"<","<","<","<",">",">"
0.13,0.44,0.61,13,25,21,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,-0.814358850966548,1.66733222859973,21.2239662355963,"<","<","<","<","<",">"
0.17,0.23,0.61,20,27,11,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,2.67747411735205,8.15715186235493,6.06434962506678,"<","<","<","<",">",">"
0.17,0.23,0.61,20,27,11,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,22.3725915097584,30.2541986025386,5.21444458910972,"<","<","<","<","=",">"
0.04,0.31,0.86,20,30,15,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,1.91068365010347,9.44920801267205,12.5901350418769,"<","<","<","<",">",">"
0.04,0.31,0.86,20,30,15,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,-26.1738342665509,-1.37695931100273,11.9368169791783,"<","<","<","<","<",">"
0.27,0.56,0.65,14,25,17,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,3.2261289656752,13.0258283863363,10.1153580398521,"<","<","<","<","<",">"
0.27,0.56,0.65,14,25,17,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,28.0355369677133,17.2075067201156,15.3671986576616,"<","<","<","<","<",">"
0.33,0.63,0.72,12,21,13,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,2.73240829943116,12.2890723264035,8.1299544703316,"<","<","<","<","=",">"
0.33,0.63,0.72,12,21,13,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,10.76320237491,8.28098482496079,4.5368019926268,"<","<","<","<","=",">"
0.87,0.092,0.69,13,22,22,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,11.1024658983705,2.72805731110517,15.1640303295508,">",">","<","<","<","="
0.87,0.092,0.69,13,22,22,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,-6.06541031718983,33.4849026867316,36.519882468686,">",">","<","<","<","="
0.58,0.69,0.83,13,19,13,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,6.6582582011993,13.7809756072842,10.8708503794088,"<","<","<","<","=",">"
0.58,0.69,0.83,13,19,13,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,25.8210927200493,25.127912089915,17.9449019145462,"<","<","<","<","=",">"
0.45,0.65,0.96,10,20,11,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,4.25038140387813,12.3901933029403,11.9090086403938,"<","<","<","<","=",">"
0.45,0.65,0.96,10,20,11,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,17.6781038220298,20.4290789835235,12.3296508219302,"<","=","<","<","=","<"
0.28,0.3,0.53,13,21,13,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,2.6445456736784,5.04980858897728,7.76227110234827,"<","<","<","<",">",">"
