"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20"
0.63,0.91,0.85,22,16,22,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
0.63,0.91,0.85,22,16,22,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,1,3,3,3,3,1,3,2,3,2,3,3,3,3,3,3
0.77,0.33,0.015,13,22,22,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,2,1
0.77,0.33,0.015,13,22,22,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2
0.76,0.15,0.73,12,18,25,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.76,0.15,0.73,12,18,25,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
0.86,0.87,0.25,18,10,29,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
0.86,0.87,0.25,18,10,29,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,2,1,3
0.89,0.87,0.044,14,25,14,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.89,0.87,0.044,14,25,14,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,2
0.91,0.87,0.044,14,24,29,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.91,0.87,0.044,14,24,29,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,2,3,2,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2
0.89,0.51,0.044,23,28,13,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
0.89,0.51,0.044,23,28,13,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1
0.89,0.56,0.7,20,16,19,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
0.89,0.56,0.7,20,16,19,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
0.78,0.89,0.019,28,17,16,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.78,0.89,0.019,28,17,16,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1
0.0056,0.71,0.14,28,25,28,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.0056,0.71,0.14,28,25,28,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,3,3,2,2,2,3,2,2,2,2,2,3,2,2,3,3,2,3,2
0.17,0.43,0.019,28,25,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
