"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"1","0",1,0.6,0.21,0.062,11,30,17,"A",0.5,TRUE
"2","0",2,0.57,0.29,0.27,11,24,24,"A",0.5,TRUE
"3","0",4,0.27,0.92,0.12,28,20,22,"A",0,TRUE
"4","0",5,0.0086,0.9,0.47,22,13,17,"A",0,TRUE
"5","0",7,0.6,0.55,0.45,11,23,30,"A",0,TRUE
"6","0",8,0.57,0.29,0.53,19,24,24,"A",0.25,TRUE
"7","0",12,0.3,0.47,0.35,27,13,18,"A",0.4,TRUE
"8","0",20,0.15,0.29,0.032,27,19,28,"A",0.4,TRUE
"9","0",24,0.56,0.42,0.083,12,30,13,"A",0.05,TRUE
"10","0",27,0.53,0.5,0.29,13,26,26,"A",0.05,TRUE
"11","0",28,0.068,0.45,0.24,13,19,25,"A",0,TRUE
"12","0",30,0.54,0.78,0.26,15,12,17,"A",0.2,TRUE
"13","0",37,0.68,0.47,0.093,22,24,19,"A",0.8,TRUE
"14","0",39,0.42,0.12,0.98,14,20,12,"A",0.15,TRUE
"15","0",40,0.9,0.19,0.66,20,11,29,"A",0.3,TRUE
"16","0",42,0.71,0.97,0.43,15,11,27,"A",0.35,TRUE
"17","0",45,0.62,0.76,0.42,13,11,27,"A",0.3,TRUE
"18","0",46,0.33,0.21,0.94,27,17,12,"A",0.4,TRUE
"19","0",49,0.078,0.92,0.61,26,10,14,"A",0.05,TRUE
"20","1",1,0.6,0.21,0.062,11,30,17,"A",0.3,TRUE
"21","1",2,0.57,0.29,0.27,11,24,24,"A",0.25,TRUE
"22","1",4,0.27,0.92,0.12,28,20,22,"A",0.5,TRUE
"23","1",5,0.0086,0.9,0.47,22,13,17,"A",0,TRUE
"24","1",7,0.6,0.55,0.45,11,23,30,"A",0.2,TRUE
"25","1",8,0.57,0.29,0.53,19,24,24,"A",0.45,TRUE
"26","1",12,0.3,0.47,0.35,27,13,18,"A",0.05,TRUE
"27","1",20,0.15,0.29,0.032,27,19,28,"A",0.65,TRUE
"28","1",24,0.56,0.42,0.083,12,30,13,"A",0.45,TRUE
"29","1",27,0.53,0.5,0.29,13,26,26,"A",0.25,TRUE
"30","1",28,0.068,0.45,0.24,13,19,25,"A",0,TRUE
"31","1",30,0.54,0.78,0.26,15,12,17,"A",0.35,TRUE
"32","1",37,0.68,0.47,0.093,22,24,19,"A",0.6,TRUE
"33","1",39,0.42,0.12,0.98,14,20,12,"A",0.35,TRUE
"34","1",40,0.9,0.19,0.66,20,11,29,"A",0.65,TRUE
"35","1",42,0.71,0.97,0.43,15,11,27,"A",0.75,TRUE
"36","1",45,0.62,0.76,0.42,13,11,27,"A",0.3,TRUE
"37","1",46,0.33,0.21,0.94,27,17,12,"A",0.75,TRUE
"38","1",49,0.078,0.92,0.61,26,10,14,"A",0.15,TRUE
"39","0",1,0.6,0.21,0.062,11,30,17,"B",0.45,TRUE
"40","0",2,0.57,0.29,0.27,11,24,24,"B",0.45,TRUE
"41","0",4,0.27,0.92,0.12,28,20,22,"B",1,TRUE
"42","0",5,0.0086,0.9,0.47,22,13,17,"B",0.8,TRUE
"43","0",7,0.6,0.55,0.45,11,23,30,"B",0.25,TRUE
"44","0",8,0.57,0.29,0.53,19,24,24,"B",0,TRUE
"45","0",12,0.3,0.47,0.35,27,13,18,"B",0.45,TRUE
"46","0",20,0.15,0.29,0.032,27,19,28,"B",0.6,TRUE
"47","0",24,0.56,0.42,0.083,12,30,13,"B",0.95,TRUE
"48","0",27,0.53,0.5,0.29,13,26,26,"B",0.9,TRUE
"49","0",28,0.068,0.45,0.24,13,19,25,"B",0.85,TRUE
"50","0",30,0.54,0.78,0.26,15,12,17,"B",0.8,TRUE
"51","0",37,0.68,0.47,0.093,22,24,19,"B",0.2,TRUE
"52","0",39,0.42,0.12,0.98,14,20,12,"B",0,TRUE
"53","0",40,0.9,0.19,0.66,20,11,29,"B",0,TRUE
"54","0",42,0.71,0.97,0.43,15,11,27,"B",0.3,TRUE
"55","0",45,0.62,0.76,0.42,13,11,27,"B",0.15,TRUE
"56","0",46,0.33,0.21,0.94,27,17,12,"B",0,TRUE
"57","0",49,0.078,0.92,0.61,26,10,14,"B",0.5,TRUE
"58","1",1,0.6,0.21,0.062,11,30,17,"B",0.7,TRUE
"59","1",2,0.57,0.29,0.27,11,24,24,"B",0.7,TRUE
"60","1",4,0.27,0.92,0.12,28,20,22,"B",0.5,TRUE
"61","1",5,0.0086,0.9,0.47,22,13,17,"B",0.6,TRUE
"62","1",7,0.6,0.55,0.45,11,23,30,"B",0.7,TRUE
"63","1",8,0.57,0.29,0.53,19,24,24,"B",0.05,TRUE
"64","1",12,0.3,0.47,0.35,27,13,18,"B",0.3,TRUE
"65","1",20,0.15,0.29,0.032,27,19,28,"B",0.35,TRUE
"66","1",24,0.56,0.42,0.083,12,30,13,"B",0.55,TRUE
"67","1",27,0.53,0.5,0.29,13,26,26,"B",0.7,TRUE
"68","1",28,0.068,0.45,0.24,13,19,25,"B",0.55,TRUE
"69","1",30,0.54,0.78,0.26,15,12,17,"B",0.55,TRUE
"70","1",37,0.68,0.47,0.093,22,24,19,"B",0.4,TRUE
"71","1",39,0.42,0.12,0.98,14,20,12,"B",0.05,TRUE
"72","1",40,0.9,0.19,0.66,20,11,29,"B",0,TRUE
"73","1",42,0.71,0.97,0.43,15,11,27,"B",0.25,TRUE
"74","1",45,0.62,0.76,0.42,13,11,27,"B",0.55,TRUE
"75","1",46,0.33,0.21,0.94,27,17,12,"B",0.05,TRUE
"76","1",49,0.078,0.92,0.61,26,10,14,"B",0.25,TRUE
"77","0",1,0.6,0.21,0.062,11,30,17,"C",0.05,TRUE
"78","0",2,0.57,0.29,0.27,11,24,24,"C",0.05,TRUE
"79","0",4,0.27,0.92,0.12,28,20,22,"C",0,TRUE
"80","0",5,0.0086,0.9,0.47,22,13,17,"C",0.2,TRUE
"81","0",7,0.6,0.55,0.45,11,23,30,"C",0.75,TRUE
"82","0",8,0.57,0.29,0.53,19,24,24,"C",0.75,TRUE
"83","0",12,0.3,0.47,0.35,27,13,18,"C",0.15,TRUE
"84","0",20,0.15,0.29,0.032,27,19,28,"C",0,TRUE
"85","0",24,0.56,0.42,0.083,12,30,13,"C",0,TRUE
"86","0",27,0.53,0.5,0.29,13,26,26,"C",0.05,TRUE
"87","0",28,0.068,0.45,0.24,13,19,25,"C",0.15,TRUE
"88","0",30,0.54,0.78,0.26,15,12,17,"C",0,TRUE
"89","0",37,0.68,0.47,0.093,22,24,19,"C",0,TRUE
"90","0",39,0.42,0.12,0.98,14,20,12,"C",0.85,TRUE
"91","0",40,0.9,0.19,0.66,20,11,29,"C",0.7,TRUE
"92","0",42,0.71,0.97,0.43,15,11,27,"C",0.35,TRUE
"93","0",45,0.62,0.76,0.42,13,11,27,"C",0.55,TRUE
"94","0",46,0.33,0.21,0.94,27,17,12,"C",0.6,TRUE
"95","0",49,0.078,0.92,0.61,26,10,14,"C",0.45,TRUE
"96","1",1,0.6,0.21,0.062,11,30,17,"C",0,TRUE
"97","1",2,0.57,0.29,0.27,11,24,24,"C",0.05,TRUE
"98","1",4,0.27,0.92,0.12,28,20,22,"C",0,TRUE
"99","1",5,0.0086,0.9,0.47,22,13,17,"C",0.4,TRUE
"100","1",7,0.6,0.55,0.45,11,23,30,"C",0.1,TRUE
"101","1",8,0.57,0.29,0.53,19,24,24,"C",0.5,TRUE
"102","1",12,0.3,0.47,0.35,27,13,18,"C",0.65,TRUE
"103","1",20,0.15,0.29,0.032,27,19,28,"C",0,TRUE
"104","1",24,0.56,0.42,0.083,12,30,13,"C",0,TRUE
"105","1",27,0.53,0.5,0.29,13,26,26,"C",0.05,TRUE
"106","1",28,0.068,0.45,0.24,13,19,25,"C",0.45,TRUE
"107","1",30,0.54,0.78,0.26,15,12,17,"C",0.1,TRUE
"108","1",37,0.68,0.47,0.093,22,24,19,"C",0,TRUE
"109","1",39,0.42,0.12,0.98,14,20,12,"C",0.6,TRUE
"110","1",40,0.9,0.19,0.66,20,11,29,"C",0.35,TRUE
"111","1",42,0.71,0.97,0.43,15,11,27,"C",0,TRUE
"112","1",45,0.62,0.76,0.42,13,11,27,"C",0.15,TRUE
"113","1",46,0.33,0.21,0.94,27,17,12,"C",0.2,TRUE
"114","1",49,0.078,0.92,0.61,26,10,14,"C",0.6,TRUE
