"","attributeA_option1","attributeA_option2","attributeB_option1","attributeB_option2","trialid","ppntid","calcsd","Bweight","toleranceA","toleranceB","orderr","value1","value2","oraclechoice","rowname","choice"
"1",5,5,0,5,1,"0",0.5,0,1,1,0.1,5,5,2,1,1
"2",5,5,1.11111111111111,5,2,"0",0.5,0,1,1,0.1,5,5,1,2,2
"3",5,5,2.22222222222222,5,3,"0",0.5,0,1,1,0.1,5,5,2,3,2
"4",5,5,3.33333333333333,5,4,"0",0.5,0,1,1,0.1,5,5,2,4,1
"5",5,5,4.44444444444444,5,5,"0",0.5,0,1,1,0.1,5,5,1,5,2
"6",5,5,5.55555555555556,5,6,"0",0.5,0,1,1,0.1,5,5,1,6,2
"7",5,5,6.66666666666667,5,7,"0",0.5,0,1,1,0.1,5,5,1,7,1
"8",5,5,7.77777777777778,5,8,"0",0.5,0,1,1,0.1,5,5,1,8,1
"9",5,5,8.88888888888889,5,9,"0",0.5,0,1,1,0.1,5,5,1,9,1
"10",5,5,10,5,10,"0",0.5,0,1,1,0.1,5,5,2,10,1
"11",5,5,0,5,1,"1",0.5,0.111111111111111,1,1,0.1,4.44444444444444,5,2,11,1
"12",5,5,1.11111111111111,5,2,"1",0.5,0.111111111111111,1,1,0.1,4.5679012345679,5,2,12,2
"13",5,5,2.22222222222222,5,3,"1",0.5,0.111111111111111,1,1,0.1,4.69135802469136,5,2,13,2
"14",5,5,3.33333333333333,5,4,"1",0.5,0.111111111111111,1,1,0.1,4.81481481481481,5,2,14,2
"15",5,5,4.44444444444444,5,5,"1",0.5,0.111111111111111,1,1,0.1,4.93827160493827,5,2,15,2
"16",5,5,5.55555555555556,5,6,"1",0.5,0.111111111111111,1,1,0.1,5.06172839506173,5,1,16,2
"17",5,5,6.66666666666667,5,7,"1",0.5,0.111111111111111,1,1,0.1,5.18518518518519,5,1,17,2
"18",5,5,7.77777777777778,5,8,"1",0.5,0.111111111111111,1,1,0.1,5.30864197530864,5,1,18,2
"19",5,5,8.88888888888889,5,9,"1",0.5,0.111111111111111,1,1,0.1,5.4320987654321,5,1,19,1
"20",5,5,10,5,10,"1",0.5,0.111111111111111,1,1,0.1,5.55555555555556,5,1,20,2
"21",5,5,0,5,1,"2",0.5,0.222222222222222,1,1,0.1,3.88888888888889,5,2,21,2
"22",5,5,1.11111111111111,5,2,"2",0.5,0.222222222222222,1,1,0.1,4.1358024691358,5,2,22,2
"23",5,5,2.22222222222222,5,3,"2",0.5,0.222222222222222,1,1,0.1,4.38271604938272,5,2,23,2
"24",5,5,3.33333333333333,5,4,"2",0.5,0.222222222222222,1,1,0.1,4.62962962962963,5,2,24,2
"25",5,5,4.44444444444444,5,5,"2",0.5,0.222222222222222,1,1,0.1,4.87654320987654,5,2,25,1
"26",5,5,5.55555555555556,5,6,"2",0.5,0.222222222222222,1,1,0.1,5.12345679012346,5,1,26,2
"27",5,5,6.66666666666667,5,7,"2",0.5,0.222222222222222,1,1,0.1,5.37037037037037,5,1,27,1
"28",5,5,7.77777777777778,5,8,"2",0.5,0.222222222222222,1,1,0.1,5.61728395061728,5,1,28,1
"29",5,5,8.88888888888889,5,9,"2",0.5,0.222222222222222,1,1,0.1,5.8641975308642,5,1,29,1
"30",5,5,10,5,10,"2",0.5,0.222222222222222,1,1,0.1,6.11111111111111,5,1,30,1
"31",5,5,0,5,1,"3",0.5,0.333333333333333,1,1,0.1,3.33333333333333,5,2,31,2
"32",5,5,1.11111111111111,5,2,"3",0.5,0.333333333333333,1,1,0.1,3.7037037037037,5,2,32,2
"33",5,5,2.22222222222222,5,3,"3",0.5,0.333333333333333,1,1,0.1,4.07407407407407,5,2,33,2
"34",5,5,3.33333333333333,5,4,"3",0.5,0.333333333333333,1,1,0.1,4.44444444444444,5,2,34,2
"35",5,5,4.44444444444444,5,5,"3",0.5,0.333333333333333,1,1,0.1,4.81481481481481,5,2,35,2
"36",5,5,5.55555555555556,5,6,"3",0.5,0.333333333333333,1,1,0.1,5.18518518518519,5,1,36,2
