modelLabel,cond,position,pA,pB,pD,vA,vB,vD,PayoffMean,ChoicesMadeCount,MaxEV,CorrectEV,LossEV,Achoices,Bchoices,Dchoices,HequalCount,EVtableCount,uBinsHist0,uBinsHist1,uBinsHist2,uBinsHist3,uBinsHist4,uBinsHist5,uBinsHist6,uBinsHist7,uBinsHist8,uBinsHist9,uBinsHist10,uBinsHist11,uBinsHist12,uBinsHist13,uBinsHist14,uBinsHist15,uBinsHist16,uBinsHist17,uBinsHist18,uBinsHist19,uBinsHist20,uBinsHist21,uBinsHist22,uBinsHist23,uBinsHist24,uBinsHist25,uBinsHist26,uBinsHist27,uBinsHist28,uBinsHist29,uBinsHist30,uBinsHist31,uBinsHist32,uBinsHist33,uBinsHist34,uBinsHist35,uBinsHist36,uBinsHist37,uBinsHist38,uBinsHist39,uBinsHist40,uBinsHist41,uBinsHist42,uBinsHist43,uBinsHist44,uBinsHist45,uBinsHist46,uBinsHist47,uBinsHist48,uBinsHist49,uBinsHist50,uBinsHist51,uBinsHist52,uBinsHist53,uBinsHist54,uBinsHist55,uBinsHist56,uBinsHist57,uBinsHist58,uBinsHist59,uBinsHist60,uBinsHist61,uBinsHist62,uBinsHist63,uBinsHist64,uBinsHist65,uBinsHist66,uBinsHist67,uBinsHist68,uBinsHist69,uBinsHist70,uBinsHist71,uBinsHist72,uBinsHist73,uBinsHist74,uBinsHist75,uBinsHist76,uBinsHist77,uBinsHist78,uBinsHist79
model1.1,X,hilo,0.079000,0.750000,0.970000,29.000000,26.000000,16.000000,16.960785,995758,19.500000,579849,6.079137,66055,579849,349854,0,44665.167969,0,64145,178493,100709,66009,47878,37075,30043,24840,21373,18959,16726,14759,13551,12551,11502,10717,10108,9389,8829,8466,8090,7792,7645,7282,6967,6790,6796,6431,6331,6306,6123,6012,6007,5914,5844,5831,5867,5755,5908,5854,5942,5820,5963,5911,6063,6279,6339,6582,6465,6749,6919,7132,7267,7485,7762,8280,8591,9118,9320,9927,10600,11265,12404,13107,14562,15778,17559,19726,22523,26142,30837,37337,46818,60321,83763,128366,233335,643445,579805
model1.1,X,hilo,0.500000,0.560000,0.880000,11.000000,26.000000,13.000000,12.475195,993376,14.560000,335738,3.150221,3207,335738,654431,0,45397.218750,0,62762,190261,110620,72202,52581,40087,33073,27645,23514,20457,18163,16306,14959,13650,12684,11584,10866,10459,10033,9264,8852,8565,8209,7957,7545,7312,7251,7080,6908,6728,6598,6604,6539,6397,6403,6391,6311,6309,6209,6413,6280,6395,6421,6453,6470,6806,6935,6844,7114,7342,7441,7616,7959,8347,8474,8802,9204,9679,10232,10772,11634,12323,13109,14374,15598,17235,19224,21062,24268,28096,33127,39534,49915,63383,88902,134061,241160,622226,473560
model1.1,X,hilo,0.680000,0.047000,0.620000,17.000000,11.000000,24.000000,12.649241,993052,14.880000,335020,3.366728,655297,2735,335020,0,44675.445312,0,85474,223702,122145,77932,56170,43122,34845,28732,24624,21307,18755,16621,15453,13938,13008,11917,11280,10512,10013,9588,9006,8698,8377,7982,7660,7388,7421,7042,6971,6752,6602,6624,6542,6401,6416,6439,6243,6249,6381,6432,6604,6456,6454,6457,6503,6793,6705,6880,7213,7300,7436,7714,7960,8177,8512,9017,9199,9755,10175,10859,11375,12071,13311,14048,15662,17048,18552,21052,23787,27462,32494,38990,48465,62782,86198,129948,230016,586989,441973
model1.1,X,hilo,0.450000,0.550000,0.600000,30.000000,23.000000,11.000000,10.846222,994182,13.500000,85756,2.903970,85756,600003,308423,0,37001.589844,0,57767,182282,107047,70727,51245,40296,32420,27153,23225,20075,17827,16102,14892,13564,12575,11731,10819,10063,9704,9151,8608,8402,8131,7680,7640,7329,7334,6923,6845,6745,6670,6561,6451,6349,6440,6267,6217,6304,6114,6387,6352,6408,6383,6457,6610,6644,6791,6954,7155,7398,7557,7627,7949,8129,8490,8887,9104,9772,10028,10904,11529,12306,13318,14297,15548,17186,18985,21340,24448,28345,33160,39970,49470,64021,88804,135161,243254,633865,483878
model1.1,X,hilo,0.300000,0.350000,0.470000,27.000000,18.000000,13.000000,6.378961,992050,8.100000,83694,1.879158,83694,529821,378535,0,26679.914062,0,88761,247230,136320,86745,62299,47746,38574,31816,27564,23322,20885,18589,16873,15452,14158,13369,12500,11620,10942,10126,9777,9497,9241,8749,8331,8174,8174,7814,7609,7425,7336,7251,7127,6952,6995,6901,6853,6825,6933,6856,6924,6968,6942,7186,6981,7307,7301,7463,7595,7879,8161,8348,8748,8697,9195,9548,9987,10440,10713,11514,12374,13023,13817,15462,16262,17949,19960,22169,25157,29201,33969,40989,50621,65440,88875,131947,229442,548499,343386
model1.1,X,hilo,0.970000,0.430000,0.710000,11.000000,27.000000,15.000000,10.738558,994029,11.610001,82886,0.951897,369859,82886,541284,0,37543.570312,0,53843,177043,105217,70279,51564,39553,32424,27182,23391,19995,18243,16268,14810,13577,12492,11515,10891,10136,9632,9215,8719,8578,8130,7827,7659,7410,7138,7065,6793,6814,6596,6465,6608,6322,6395,6235,6283,6234,6311,6280,6440,6420,6570,6481,6628,6818,6704,6959,7082,7324,7505,7753,8016,8122,8609,8975,9136,9844,10344,10793,11685,12375,13194,14515,15779,17425,19189,21867,24413,28433,33433,40398,49815,65381,89733,137467,246029,638203,479098
model1.1,X,hilo,0.760000,0.420000,0.620000,11.000000,27.000000,13.000000,8.457317,993297,11.339999,85548,3.156033,374607,85548,533142,0,32314.386719,0,67315,205388,118533,77489,56322,42907,34847,29013,24620,21818,19354,17378,15766,14408,13047,12194,11652,10929,10395,9802,9179,8896,8448,8095,8127,7668,7537,7303,7219,6971,6934,6752,6832,6763,6796,6556,6601,6723,6634,6674,6704,6645,6680,6860,6901,7024,7015,7186,7580,7553,7620,7968,8360,8509,8816,9328,9417,9869,10658,11142,11925,12627,13900,14735,16091,17653,19799,21859,25232,28665,33870,40425,50303,64946,89709,135442,240012,600725,420253
model1.1,X,hilo,0.770000,0.900000,0.910000,23.000000,17.000000,12.000000,15.153975,950981,17.709999,67454,2.753505,67454,814232,69295,0,8322.810547,0,34420,129102,80278,53520,39404,30455,24585,20382,17649,15407,13618,12104,11094,10202,9325,8727,8027,7494,7318,6845,6409,6213,5932,5532,5523,5361,5245,5084,5055,4843,4814,4845,4644,4626,4670,4551,4624,4548,4540,4498,4586,4774,4722,4802,4914,5055,5022,5249,5201,5443,5621,5690,5974,6236,6724,6759,6969,7544,8134,8511,9067,9814,10619,11618,12855,14243,16078,17983,20563,24339,28792,35150,44478,58796,83289,130496,244167,696365,624788
model1.1,X,hilo,0.770000,0.810000,0.900000,29.000000,24.000000,19.000000,18.967470,997790,22.330000,86044,3.682496,86044,602945,308801,0,69421.851562,0,18090,79200,55435,39285,29722,23866,19892,16699,14467,12768,11587,10311,9684,8885,8216,7849,7152,6930,6740,6373,6225,5795,5804,5484,5356,5158,5131,5004,4890,4673,4819,4700,4655,4576,4564,4471,4609,4556,4670,4614,4759,4645,4613,4731,4881,5032,5197,5194,5437,5540,5589,5809,6091,6415,6451,6543,7128,7551,7928,8412,9019,9555,10423,11370,12386,13908,15535,17252,19882,23178,27723,33462,42778,56884,80234,127625,245546,763993,861766
model1.1,X,hilo,0.590000,0.610000,0.850000,11.000000,23.000000,13.000000,12.029394,993309,14.030001,331529,3.004627,3388,331529,658392,0,44490.742188,0,61002,188458,109524,72199,52254,40670,32862,27588,23643,20769,18472,16319,14804,13461,12640,11752,10879,10367,9781,9331,8827,8475,8203,8033,7602,7434,7215,7087,6884,6808,6483,6485,6502,6567,6409,6229,6312,6327,6258,6365,6360,6242,6505,6507,6584,6650,6792,6999,7201,6983,7560,7666,7918,8231,8426,8930,9313,9594,10235,10762,11503,12597,13309,14363,15694,17023,19208,21330,24177,27954,33421,39922,50229,64468,89343,134893,242732,624525,470498
