modelLabel,cond,position,pA,pB,pD,vA,vB,vD,PayoffMean,ChoicesMadeCount,MaxEV,CorrectEV,LossEV,Achoices,Bchoices,Dchoices,HequalCount,EVtableCount,uBinsHist0,uBinsHist1,uBinsHist2,uBinsHist3,uBinsHist4,uBinsHist5,uBinsHist6,uBinsHist7,uBinsHist8,uBinsHist9,uBinsHist10,uBinsHist11,uBinsHist12,uBinsHist13,uBinsHist14,uBinsHist15,uBinsHist16,uBinsHist17,uBinsHist18,uBinsHist19,uBinsHist20,uBinsHist21,uBinsHist22,uBinsHist23,uBinsHist24,uBinsHist25,uBinsHist26,uBinsHist27,uBinsHist28,uBinsHist29,uBinsHist30,uBinsHist31,uBinsHist32,uBinsHist33,uBinsHist34,uBinsHist35,uBinsHist36,uBinsHist37,uBinsHist38,uBinsHist39,uBinsHist40,uBinsHist41,uBinsHist42,uBinsHist43,uBinsHist44,uBinsHist45,uBinsHist46,uBinsHist47,uBinsHist48,uBinsHist49,uBinsHist50,uBinsHist51,uBinsHist52,uBinsHist53,uBinsHist54,uBinsHist55,uBinsHist56,uBinsHist57,uBinsHist58,uBinsHist59,uBinsHist60,uBinsHist61,uBinsHist62,uBinsHist63,uBinsHist64,uBinsHist65,uBinsHist66,uBinsHist67,uBinsHist68,uBinsHist69,uBinsHist70,uBinsHist71,uBinsHist72,uBinsHist73,uBinsHist74,uBinsHist75,uBinsHist76,uBinsHist77,uBinsHist78,uBinsHist79
model1.1,X,hilo,0.079000,0.750000,0.970000,29.000000,26.000000,16.000000,19.426424,999989,19.500000,990000,3.980000,0,990000,9989,0,24446.042969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,5,20,33,59,81,139,207,324,442,738,1017,1441,1953,2736,3628,4990,6370,8180,10802,13486,16884,20913,25271,30294,35851,41574,47285,53303,58603,63765,67688,69407,69938,67415,63124,56914,48131,38283,28480,19268,11443,5908,2518,821,206,41,1,0,0,2,12660,986562,1000754,0
model1.1,X,hilo,0.500000,0.560000,0.880000,11.000000,26.000000,13.000000,14.383844,1000000,14.560000,944177,3.120001,0,944177,55823,0,76762.546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,15,15,35,53,126,172,374,608,1138,1965,3507,6188,10203,17604,29404,47365,73019,106876,142796,169227,169150,130788,68178,20414,25966,302004,740827,930321,1655,0
model1.1,X,hilo,0.680000,0.047000,0.620000,17.000000,11.000000,24.000000,14.719259,999994,14.880000,951539,3.320000,48455,0,951539,0,35936.328125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,9,34,97,147,335,545,954,1463,2282,3073,4625,6037,8117,10321,12933,16120,19313,23080,26602,30294,34273,38077,41148,45029,47393,49737,50983,51549,51989,51498,49245,47175,44346,40792,37084,32570,27903,23534,19349,15086,11648,8406,5770,3908,2385,1423,707,361,151,60,14,3,1,0,1,31,730,18132,266922,726928,982925,4319,0
model1.1,X,hilo,0.450000,0.550000,0.600000,30.000000,23.000000,11.000000,13.237344,1000000,13.500000,691304,0.849999,691304,308696,0,0,39041.203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,9,22,47,89,239,597,1275,2842,6204,13061,27194,54726,100317,166162,226106,227121,137092,35716,55832,1096409,848900,32,0
model1.1,X,hilo,0.300000,0.350000,0.470000,27.000000,18.000000,13.000000,7.695950,999990,8.100000,785186,1.882266,785186,121811,92993,0,6470.733887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,9,27,66,104,249,509,976,2002,3978,7895,15340,29586,56636,103564,178606,284455,404389,496141,518600,481771,331091,82069,1895,0,0,0
model1.1,X,hilo,0.970000,0.430000,0.710000,11.000000,27.000000,15.000000,11.128480,1000000,11.610001,493648,0.950769,236919,493648,269433,0,64447.359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,126,1664,22000,233079,1271088,1416146,55887,0,0
model1.1,X,hilo,0.760000,0.420000,0.620000,11.000000,27.000000,13.000000,11.136628,1000000,11.339999,935013,3.087851,41643,935013,23344,0,26677.261719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,23,75,280,989,3380,11805,39148,123211,327541,635694,682063,533754,616208,25822,0,0
model1.1,X,hilo,0.770000,0.900000,0.910000,23.000000,17.000000,12.000000,17.144484,999963,17.709999,766908,2.417745,766908,232854,201,0,42123.878906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,343,5424,70096,452646,484058,1391105,596190,0
model1.1,X,hilo,0.770000,0.810000,0.900000,29.000000,24.000000,19.000000,21.527512,1000000,22.330000,744406,3.134829,744406,228910,26684,0,250046.671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,683537,2316383,0
model1.1,X,hilo,0.590000,0.610000,0.850000,11.000000,23.000000,13.000000,13.818102,1000000,14.030001,929633,2.980000,0,929633,70367,0,63976.488281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,19,33,84,181,403,842,1759,3781,7954,16564,33001,62855,112040,175479,225853,212718,121518,82084,420949,736536,785100,237,0
