"X","probA","probB","probC","payoffA","payoffB","payoffC","stimtype","exA","exB","exC","wingap","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20","stimid"
21,0.079,0.75,0.97,29,26,16,2,2.291,19.5,15.52,3.98,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22,0.079,0.75,0.97,29,26,16,2,2.291,19.5,15.52,3.98,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2
3,0.5,0.56,0.88,11,26,13,1,5.5,14.56,11.44,3.12,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
31,0.5,0.56,0.88,11,26,13,1,5.5,14.56,11.44,3.12,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3
5,0.68,0.047,0.62,17,11,24,3,11.56,0.517,14.88,3.32,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
51,0.68,0.047,0.62,17,11,24,3,11.56,0.517,14.88,3.32,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
10,0.45,0.55,0.6,30,23,11,4,13.5,12.65,6.6,0.85,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,10
101,0.45,0.55,0.6,30,23,11,4,13.5,12.65,6.6,0.85,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,3,2,2,3,3,3,1,2,2,3,2,2,3,3,3,3,3,3,3,10
12,0.3,0.35,0.47,27,18,13,4,8.1,6.3,6.11,1.8,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,12
121,0.3,0.35,0.47,27,18,13,4,8.1,6.3,6.11,1.8,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,12
18,0.97,0.43,0.71,11,27,15,1,10.67,11.61,10.65,0.94,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,3,3,3,2,2,2,3,2,2,3,1,2,2,2,2,2,3,3,18
181,0.97,0.43,0.71,11,27,15,1,10.67,11.61,10.65,0.94,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,3,1,1,1,1,1,1,3,1,1,1,1,3,3,2,3,1,1,1,18
19,0.76,0.42,0.62,11,27,13,1,8.36,11.34,8.06,2.98,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,19
191,0.76,0.42,0.62,11,27,13,1,8.36,11.34,8.06,2.98,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,2,1,1,1,2,1,1,1,3,1,3,3,3,1,1,1,3,1,19
25,0.77,0.9,0.91,23,17,12,4,17.71,15.3,10.92,2.41,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,25
251,0.77,0.9,0.91,23,17,12,4,17.71,15.3,10.92,2.41,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,3,2,3,3,2,2,3,3,1,3,2,3,2,3,2,3,3,3,3,25
26,0.77,0.81,0.9,29,24,19,2,22.33,19.44,17.1,2.89,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,26
261,0.77,0.81,0.9,29,24,19,2,22.33,19.44,17.1,2.89,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,2,2,3,2,2,2,1,1,1,1,2,3,3,3,3,3,26
30,0.59,0.61,0.85,11,23,13,1,6.49,14.03,11.05,2.98,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30
301,0.59,0.61,0.85,11,23,13,1,6.49,14.03,11.05,2.98,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,30
33,0.64,0.9,0.93,17,28,22,1,10.88,25.2,20.46,4.74,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33
331,0.64,0.9,0.93,17,28,22,1,10.88,25.2,20.46,4.74,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,33
34,0.31,0.42,0.29,20,11,27,3,6.2,4.62,7.83,1.63,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,34
341,0.31,0.42,0.29,20,11,27,3,6.2,4.62,7.83,1.63,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,2,3,2,2,1,2,3,2,2,2,1,2,2,1,1,1,2,2,2,34
37,0.29,0.64,0.86,12,22,14,1,3.48,14.08,12.04,2.04,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,37
371,0.29,0.64,0.86,12,22,14,1,3.48,14.08,12.04,2.04,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,37
45,0.44,0.96,0.012,23,13,21,3,10.12,12.48,0.252,2.36,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,45
451,0.44,0.96,0.012,23,13,21,3,10.12,12.48,0.252,2.36,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,45
46,0.37,0.63,0.36,16,11,27,3,5.92,6.93,9.72,2.79,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,46
461,0.37,0.63,0.36,16,11,27,3,5.92,6.93,9.72,2.79,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,2,2,46
50,0.69,0.15,0.28,14,17,21,3,9.66,2.55,5.88,3.78,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50
501,0.69,0.15,0.28,14,17,21,3,9.66,2.55,5.88,3.78,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,50
57,0.12,0.41,0.47,12,29,16,1,1.44,11.89,7.52,4.37,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,57
571,0.12,0.41,0.47,12,29,16,1,1.44,11.89,7.52,4.37,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,57
58,0.16,0.78,0.91,14,24,16,1,2.24,18.72,14.56,4.16,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,58
581,0.16,0.78,0.91,14,24,16,1,2.24,18.72,14.56,4.16,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,58
62,0.71,0.41,0.43,10,25,20,1,7.1,10.25,8.6,1.65,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,3,3,2,2,3,3,2,2,2,3,3,2,2,3,2,62
621,0.71,0.41,0.43,10,25,20,1,7.1,10.25,8.6,1.65,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,2,3,3,3,1,1,1,3,1,3,1,1,1,1,3,3,1,62
64,0.17,0.4,0.91,19,23,14,1,3.23,9.2,12.74,3.54,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,64
