cond,position,pA,pB,pD,vA,vB,vD
X,fixExp,0.5005005005,0.5,0.4995004995,99.9,100,100.1
X,fixExp,0.5012235752,0.5,0.4987823842,99.7558823529,100,100.2441176471
X,fixExp,0.5019487422,0.5,0.4980663307,99.6117647059,100,100.3882352941
X,fixExp,0.5026760105,0.5,0.4973523302,99.4676470588,100,100.5323529412
X,fixExp,0.5034053894,0.5,0.4966403739,99.3235294118,100,100.6764705882
X,fixExp,0.504136888,0.5,0.495930453,99.1794117647,100,100.8205882353
X,fixExp,0.5048705156,0.5,0.4952225588,99.0352941176,100,100.9647058824
X,fixExp,0.5056062814,0.5,0.4945166827,98.8911764706,100,101.1088235294
X,fixExp,0.5063441949,0.5,0.4938128159,98.7470588235,100,101.2529411765
X,fixExp,0.5070842655,0.5,0.49311095,98.6029411765,100,101.3970588235
X,fixExp,0.5078265026,0.5,0.4924110764,98.4588235294,100,101.5411764706
X,fixExp,0.5085709157,0.5,0.4917131866,98.3147058824,100,101.6852941176
X,fixExp,0.5093175145,0.5,0.4910172723,98.1705882353,100,101.8294117647
X,fixExp,0.5100663086,0.5,0.490323325,98.0264705882,100,101.9735294118
X,fixExp,0.5108173077,0.5,0.4896313364,97.8823529412,100,102.1176470588
X,fixExp,0.5115705215,0.5,0.4889412983,97.7382352941,100,102.2617647059
X,fixExp,0.5123259599,0.5,0.4882532024,97.5941176471,100,102.4058823529
X,fixExp,0.5130836326,0.5,0.4875670405,97.45,100,102.55
X,fixExp,0.5138435498,0.5,0.4868828044,97.3058823529,100,102.6941176471
X,fixExp,0.5146057212,0.5,0.4862004862,97.1617647059,100,102.8382352941
X,fixExp,0.515370157,0.5,0.4855200777,97.0176470588,100,102.9823529412
X,fixExp,0.5161368674,0.5,0.4848415709,96.8735294118,100,103.1264705882
X,fixExp,0.5169058623,0.5,0.4841649578,96.7294117647,100,103.2705882353
X,fixExp,0.5176771522,0.5,0.4834902307,96.5852941176,100,103.4147058824
X,fixExp,0.5184507472,0.5,0.4828173814,96.4411764706,100,103.5588235294
X,fixExp,0.5192266577,0.5,0.4821464023,96.2970588235,100,103.7029411765
X,fixExp,0.5200048942,0.5,0.4814772856,96.1529411765,100,103.8470588235
X,fixExp,0.520785467,0.5,0.4808100235,96.0088235294,100,103.9911764706
X,fixExp,0.5215683868,0.5,0.4801446083,95.8647058824,100,104.1352941176
X,fixExp,0.5223536642,0.5,0.4794810323,95.7205882353,100,104.2794117647
X,fixExp,0.5231413097,0.5,0.478819288,95.5764705882,100,104.4235294118
X,fixExp,0.5239313342,0.5,0.4781593677,95.4323529412,100,104.5676470588
X,fixExp,0.5247237484,0.5,0.477501264,95.2882352941,100,104.7117647059
X,fixExp,0.5255185632,0.5,0.4768449693,95.1441176471,100,104.8558823529
X,fixExp,0.5263157895,0.5,0.4761904762,95,100,105
X,fixPay,0.5,0.5,0.5,100,100,100
X,fixPay,0.4926470588,0.5,0.5073529412,100,100,100
X,fixPay,0.4852941176,0.5,0.5147058824,100,100,100
X,fixPay,0.4779411765,0.5,0.5220588235,100,100,100
X,fixPay,0.4705882353,0.5,0.5294117647,100,100,100
X,fixPay,0.4632352941,0.5,0.5367647059,100,100,100
X,fixPay,0.4558823529,0.5,0.5441176471,100,100,100
X,fixPay,0.4485294118,0.5,0.5514705882,100,100,100
X,fixPay,0.4411764706,0.5,0.5588235294,100,100,100
X,fixPay,0.4338235294,0.5,0.5661764706,100,100,100
X,fixPay,0.4264705882,0.5,0.5735294118,100,100,100
X,fixPay,0.4191176471,0.5,0.5808823529,100,100,100
X,fixPay,0.4117647059,0.5,0.5882352941,100,100,100
X,fixPay,0.4044117647,0.5,0.5955882353,100,100,100
X,fixPay,0.3970588235,0.5,0.6029411765,100,100,100
X,fixPay,0.3897058824,0.5,0.6102941176,100,100,100
X,fixPay,0.3823529412,0.5,0.6176470588,100,100,100
X,fixPay,0.375,0.5,0.625,100,100,100
X,fixPay,0.3676470588,0.5,0.6323529412,100,100,100
X,fixPay,0.3602941176,0.5,0.6397058824,100,100,100
X,fixPay,0.3529411765,0.5,0.6470588235,100,100,100
X,fixPay,0.3455882353,0.5,0.6544117647,100,100,100
X,fixPay,0.3382352941,0.5,0.6617647059,100,100,100
X,fixPay,0.3308823529,0.5,0.6691176471,100,100,100
X,fixPay,0.3235294118,0.5,0.6764705882,100,100,100
X,fixPay,0.3161764706,0.5,0.6838235294,100,100,100
X,fixPay,0.3088235294,0.5,0.6911764706,100,100,100
X,fixPay,0.3014705882,0.5,0.6985294118,100,100,100
X,fixPay,0.2941176471,0.5,0.7058823529,100,100,100
X,fixPay,0.2867647059,0.5,0.7132352941,100,100,100
X,fixPay,0.2794117647,0.5,0.7205882353,100,100,100
X,fixPay,0.2720588235,0.5,0.7279411765,100,100,100
X,fixPay,0.2647058824,0.5,0.7352941176,100,100,100
X,fixPay,0.2573529412,0.5,0.7426470588,100,100,100
X,fixPay,0.25,0.5,0.75,100,100,100
X,fixProb,0.5,0.5,0.5,100,100,100
X,fixProb,0.5,0.5,0.5,99.8529411765,100,100.1470588235
X,fixProb,0.5,0.5,0.5,99.7058823529,100,100.2941176471
X,fixProb,0.5,0.5,0.5,99.5588235294,100,100.4411764706
X,fixProb,0.5,0.5,0.5,99.4117647059,100,100.5882352941
