cond,position,pA,pB,pD,vA,vB,vD
X,horesrace,0.414199695,0.706260388,0.1864257851,102.9799028859,108.1780900056,103.4463772096
X,horesrace,0.8999464784,0.5843928815,0.028944344,108.8843160684,102.8330224909,100.07859727
X,horesrace,0.3508386314,0.5180009976,0.4862982649,100.8451338711,105.8251341951,99.7789800137
X,horesrace,0.5399740895,0.6115819653,0.0616809127,100.8258450986,106.5381118013,106.4412843896
X,horesrace,0.276625067,0.6113900018,0.1045790156,104.5491957561,95.3598594746,106.20090419
X,horesrace,0.4390161161,0.1464152467,0.7746387972,92.5890544017,104.3056593625,97.9774008462
X,horesrace,0.5899457426,0.1751271475,0.6793549852,96.8122825071,106.718543131,100.907676923
X,horesrace,0.0980898845,0.9542990508,0.79417504,95.6892692795,100.4942184457,98.121724279
X,horesrace,0.2345622908,0.9638625081,0.7465726419,96.8813675564,99.6018378408,102.1781238141
X,horesrace,0.0243676009,0.7246657435,0.7096995558,103.4798331685,99.221680177,106.744490976
X,horesrace,0.8573576871,0.1435622787,0.9053616414,110.3184735113,100.6569150533,98.8415577554
X,horesrace,0.6544473411,0.1868854545,0.2993853812,99.1436337852,100.7933844872,97.5716746691
X,horesrace,0.8311969645,0.4283732434,0.2352289322,98.1522976094,101.1876915627,96.6703894379
X,horesrace,0.7872185791,0.5206149132,0.0990596393,98.9292516863,97.1262726785,92.6463647785
X,horesrace,0.849136841,0.904312938,0.7990555221,94.3467315949,101.8437408764,98.9909848983
X,horesrace,0.8993153181,0.7875683757,0.4368019663,103.0739881657,103.4397398119,99.7647449447
X,horesrace,0.0098945734,0.7182214179,0.1664025695,98.6123218627,103.4240096799,99.4244324523
X,horesrace,0.6392576296,0.5421182213,0.4821003659,91.3691338401,107.7789351016,103.8820634587
X,horesrace,0.8640085289,0.9580076574,0.3344572701,103.7228232262,104.3261039851,101.5266440503
X,horesrace,0.5453901407,0.3359097291,0.7874805036,96.9790137532,108.5750529688,96.420258611
X,horesrace,0.5529964732,0.8412878923,0.0304817455,98.3130578399,104.8663514433,104.9391396543
X,horesrace,0.8267133108,0.3634749886,0.7238839492,88.0887858433,105.3900948686,103.3412255251
X,horesrace,0.8326338239,0.975879391,0.7206501248,104.846385181,102.7614616297,99.5892224964
X,horesrace,0.9532007682,0.1126399736,0.1585343282,103.5966449539,95.7781792398,103.1099269517
X,horesrace,0.7650414023,0.6734567836,0.8840553151,101.9523618151,97.4181167868,104.5493448897
X,horesrace,0.190247487,0.7928059187,0.0618663593,106.872628578,97.5837564442,102.7517497517
X,horesrace,0.8043785885,0.7602047576,0.9820066467,105.4971837738,101.7101704452,102.4541474021
X,horesrace,0.8243314861,0.9233385201,0.1645904474,92.2682940611,100.0885173961,96.1264129939
X,horesrace,0.5906985591,0.6081045019,0.0362421856,97.6094355032,97.026185735,88.7103089149
X,horesrace,0.0462255727,0.4711852863,0.6700401711,103.1328669629,96.0010197028,94.3600698888
X,horesrace,0.8473221953,0.4716703347,0.3513378112,91.8870584125,109.5027133494,96.4191041682
X,horesrace,0.3518021121,0.3296633845,0.3984636199,99.1027573143,96.5493616037,99.9978859877
X,horesrace,0.2858393597,0.8866199721,0.6353929546,96.7490147779,95.5520416461,107.3851494365
X,horesrace,0.8840492808,0.0400164812,0.1122345154,92.2609986593,98.4887698376,105.1960385815
X,horesrace,0.7787093869,0.0636703901,0.9922841773,102.7816415876,105.5276695356,100.8321840795
X,horesrace,0.5891901723,0.5903371465,0.5999390068,110.3413666598,107.9159492924,94.7870462732
X,horesrace,0.5033460506,0.9089124771,0.4417491241,96.0608828805,98.5550120074,103.3341965005
X,horesrace,0.5543388571,0.4113439051,0.1319529822,92.8075280121,103.1718286241,97.5040259819
X,horesrace,0.1300251058,0.5399011476,0.8664664445,103.2896213097,99.7835199287,103.141946125
X,horesrace,0.8255767932,0.6395976008,0.51797541,98.2597306982,98.2051304733,101.9780762266
X,horesrace,0.8374285109,0.5090554431,0.8118003656,102.4252021942,95.8423468841,105.8657541044
X,horesrace,0.4756734471,0.4377195102,0.3195685006,102.725803977,101.9780108153,95.3931832733
X,horesrace,0.7506614181,0.974045957,0.4522482431,106.3303863489,94.5100659973,102.1895322912
X,horesrace,0.2688175731,0.4928714244,0.8923622472,97.4788953477,106.5839083881,103.9721509553
X,horesrace,0.3138260518,0.0088692477,0.6109151545,100.9949773859,104.0511761043,99.3887070725
X,horesrace,0.1567945804,0.3023749276,0.5909430012,99.1618311074,87.6197918184,96.9942288677
X,horesrace,0.4874319604,0.1100758924,0.7577910966,92.4792560528,98.8740949708,99.9553165598
X,horesrace,0.9303444948,0.9676806661,0.8012322246,106.2787386766,93.2474902111,101.6190756602
X,horesrace,0.4527188719,0.2579700905,0.2477403556,112.5875782345,101.5126249693,96.6809467458
X,horesrace,0.4749008305,0.8825168621,0.6629411255,96.2618977574,99.3683637272,94.9066645184
X,horesrace,0.997741376,0.0653344986,0.0746011846,102.5268464182,96.2135337529,101.2461904235
X,horesrace,0.6243222798,0.4590126956,0.5837938038,101.3527154022,98.4649987253,104.4493435889
X,horesrace,0.3489919233,0.9885286749,0.7088237409,101.6519000929,97.0092768316,93.6897787232
X,horesrace,0.2226427244,0.2001838738,0.4371397349,105.2324905787,96.7357368045,95.1964002085
X,horesrace,0.5797087343,0.2439712968,0.8408668309,95.00181592,98.1834256832,105.2883325346
X,horesrace,0.1403031906,0.1078586013,0.1965213567,95.9323055681,98.1608246641,105.5884185331
X,horesrace,0.4547272706,0.6716743521,0.9258721094,98.0777789987,102.9656410224,101.2252573618
X,horesrace,0.9595771711,0.4751126526,0.861267739,99.4623818097,102.2559728504,105.4718479601
X,horesrace,0.1824787352,0.8407417419,0.7629546847,102.1130043728,102.1646668425,100.4226582232
X,horesrace,0.290441259,0.7046305097,0.4499662712,105.0194366111,105.3591862113,97.7482371581
X,horesrace,0.1689200676,0.1829116237,0.8909004061,98.5477180238,91.7394553945,100.1870488482
X,horesrace,0.979457956,0.4557013274,0.3778228916,96.8054778729,104.6638316091,98.6366092568
X,horesrace,0.1071478194,0.8555836789,0.0295051658,94.159540701,102.0950222237,91.7375917446
X,horesrace,0.4297913099,0.557219547,0.0090710081,106.0848482761,102.016431146,103.1881361113
X,horesrace,0.8130226098,0.9057800493,0.4293090384,92.8809639906,92.4815507504,94.6230072732
