"ppntid","probA","probB","probC","payoffA","payoffB","payoffC","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","trial_id","row_id","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0,0.8,0.4,0.2,70,140,280,0.5,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",1,"1",55.5305228231094,54.7080186558472,54.7465231695418,">","=",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,1,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",2,"1",56.5713248834569,54.1913694768533,55.227675497506,">",">","=","<","<","<"
0,0.8,0.4,0.2,70,140,280,2,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",3,"1",58.2081698739799,55.5804286934298,58.7746075399498,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,4,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",4,"2",50.1268424799043,54.1799354874714,54.9149434890504,">",">",">","<","=","<"
0,0.8,0.4,0.2,70,140,280,8,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",5,"1",59.3045809972714,61.472709376998,40.1556551545328,">","=",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,16,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",6,"2",53.1898463903107,84.060345329622,59.2669048881504,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,0.5,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",7,"3",55.4072127857052,55.3794608399554,56.0097965015145,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,1,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",8,"1",57.4930280170721,55.4100162925667,56.2081353023375,">","<",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,2,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",9,"1",59.8491921333701,55.0654366533856,57.9762807545587,">",">","<","<","<","<"
0,0.8,0.4,0.2,70,140,280,4,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",10,"2",57.2025805815192,56.1205829581588,59.2643953511607,"<",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,8,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",11,"3",58.036513145034,39.9772702391862,64.6678683550543,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,16,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",12,"2",20.3293161905846,57.8637866822889,51.5143544816827,">","<",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,0.5,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",13,"3",56.6511062950823,55.922905011754,56.1448843626637,"=",">",">","=","<","<"
0,0.8,0.4,0.2,70,140,280,1,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",14,"1",56.2138461302918,56.2461724093202,54.342935421695,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,2,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",15,"1",56.9705589722111,55.7266778874371,52.3710137348034,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,4,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",16,"1",57.7141842172162,52.0102796111508,59.3690231299356,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,8,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",17,"1",53.6956253661488,58.8003017103702,40.9802728344745,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,16,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",18,"2",41.4571785637326,79.2460425122383,58.3692219473119,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,0.5,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",19,"1",55.8407666457441,55.7614628513924,55.6611013419533,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,1,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",20,"2",55.2828477944211,55.82774042348,55.4252692325575,">",">",">","<","=","<"
0,0.8,0.4,0.2,70,140,280,2,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",21,"2",56.2099018027785,55.3371850138364,55.1310699334142,"<",">",">","<","<",">"
0,0.8,0.4,0.2,70,140,280,4,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",22,"1",55.889416713583,56.0279226421529,57.0573201454924,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,8,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",23,"1",54.4689083694833,57.6238395794118,58.9260921879287,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,16,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",24,"2",50.7669738462309,89.4930744240356,40.8794410956858,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,0.5,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",25,"3",55.7538688133573,55.2614313362787,56.4456496996348,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,1,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",26,"1",55.9923312108566,55.1371780132029,56.45588799943,">",">","=","=","<","<"
0,0.8,0.4,0.2,70,140,280,2,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",27,"3",52.6767689062007,54.7148445945989,60.7362816025686,">",">",">","<","<","<"
0,0.8,0.4,0.2,70,140,280,4,0.011,1.1,0.15,TRUE,TRUE,100,10,"rangetie",28,"2",58.77252447229,62.9852100841963,57.8414636681343,"=",">",">","<","<","<"
