"ppntid","probA","probB","probC","payoffA","payoffB","payoffC","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","trial_id","row_id","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,20,"wedellF",1,"1",10.5702200414278,10.3045869965627,9.18519426995532,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,20,"wedellF",2,"1",10.0604939335727,9.50807483817735,8.88481336206162,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,20,"wedellF",3,"2",9.61170309117479,10.0052354644751,9.18389697443743,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,20,"wedellF",4,"1",10.3413060492415,8.90222661886533,9.62392771895051,">",">","=","<","<","<"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,20,"wedellF",5,"2",9.78599543102792,10.1669500137918,8.860690361482,">","=","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,20,"wedellF",6,"1",10.7734983458049,10.4210590576987,9.30034439733472,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,20,"wedellF",7,"1",10.4477759009568,9.6733124980609,9.11962047029622,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,20,"wedellF",8,"3",9.22440195498661,9.65933707708679,9.70185251763853,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,20,"wedellF",9,"1",10.0881170999535,9.2329462465292,8.71023319611945,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,20,"wedellF",10,"1",10.6981979644539,10.541009895812,8.28186692020888,">",">","=","<",">",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,20,"wedellF",11,"2",9.76193397598636,10.0490271110117,9.20516187128953,">",">","=","<","<",">"
