"ppntid","probA","probB","probC","payoffA","payoffB","payoffC","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","trial_id","row_id","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",1,"2",9.98387843629997,9.97171021490563,9.37983100645866,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",2,"2",10.1243937054893,9.9456735376986,9.64050054293212,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",3,"1",10.1863554514179,9.50797465136061,8.82447272577464,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",4,"2",10.1550188901508,10.7408227103245,7.97697683966105,">","<","=","<","<","<"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",5,"2",11.0135945540677,10.5961717265893,9.33620523046065,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",6,"2",10.266620894808,10.4546569538038,9.31319849147568,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",7,"2",9.91645530541543,10.6180772970087,8.84534896993194,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",8,"2",9.48936353947758,11.0774246835639,10.0222426238249,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",9,"1",10.2785429159096,9.48178439069483,9.02115765312803,"<",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",10,"1",10.4270289905944,10.3647777376004,9.05224283522552,">","=","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",11,"2",10.3629096556401,10.7015336810405,9.39040866159207,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",12,"1",10.384623008465,9.91365865879764,8.90641121245719,">","=","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",13,"1",10.5946467156974,8.9971998718356,7.73615794211729,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",14,"1",11.1459125319779,9.8462273296349,8.78736826888113,">",">","=","<","<","="
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",15,"2",9.21386069892783,10.5022002100358,9.23482922440451,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",16,"1",10.8368821604855,9.57595605178468,9.02936564969185,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",17,"2",10.1928398556455,10.7012580373762,8.11296459681024,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",18,"2",9.75238661929713,9.53309667799389,9.03200436120088,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",19,"1",10.5735849631514,9.05057284186187,8.83843789176993,"=",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",20,"1",10.1735866780037,9.63069746649441,9.01906448260073,">","<","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",21,"1",10.557818331925,9.5508816674704,8.31558151094137,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",22,"2",10.2233464336028,10.8023022522717,9.29684321024892,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",23,"2",9.55335748645532,10.0190485219749,8.72662145662845,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",24,"1",10.5174518540918,9.60678520128046,9.21622497532698,">",">","=","<","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",25,"2",10.0099711821229,10.6823553406898,8.59819970753875,">",">","=",">","<",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",26,"1",9.6030100448141,9.52368882997997,8.35740359159013,"=",">",">","<",">",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",27,"2",9.08859208852268,9.68897110655453,8.59360673500703,">",">","=","<","<","="
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",28,"2",9.56625130334075,10.1801428478954,8.8069296342221,">",">","=","<",">",">"
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",29,"1",10.1293324948588,9.72107724808479,8.54502665391126,">",">","=",">","<","="
0,0.67,0.5,0.5,15,20,18,0.5,0.011,1.1,0.15,TRUE,TRUE,20,15,"wedellFpayoffpriorsd15",30,"2",10.1070658584759,10.6356938838529,8.38189869191517,">",">","=",">","<","<"
