"","probA","probB","probC","payoffA","payoffB","payoffC","payoffprior_mean","payoffprior_sd","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20","choice21","choice22","choice23","choice24","choice25","choice26","choice27","choice28","choice29","choice30","choice31","choice32","choice33","choice34","choice35","choice36","choice37","choice38","choice39","choice40","choice41","choice42","choice43","choice44","choice45","choice46","choice47","choice48","choice49","choice50","choice51","choice52","choice53","choice54","choice55","choice56","choice57","choice58","choice59","choice60","choice61","choice62","choice63","choice64","choice65","choice66","choice67","choice68","choice69","choice70","choice71","choice72","choice73","choice74","choice75","choice76","choice77","choice78","choice79","choice80","choice81","choice82","choice83","choice84","choice85","choice86","choice87","choice88","choice89","choice90","choice91","choice92","choice93","choice94","choice95","choice96","choice97","choice98","choice99","choice100","choice101","choice102","choice103","choice104","choice105","choice106","choice107","choice108","choice109","choice110","choice111","choice112","choice113","choice114","choice115","choice116","choice117","choice118","choice119","choice120","choice121","choice122","choice123","choice124","choice125","choice126","choice127","choice128","choice129","choice130","choice131","choice132","choice133","choice134","choice135","choice136","choice137","choice138","choice139","choice140","choice141","choice142","choice143","choice144","choice145","choice146","choice147","choice148","choice149","choice150","choice151","choice152","choice153","choice154","choice155","choice156","choice157","choice158","choice159","choice160","choice161","choice162","choice163","choice164","choice165","choice166","choice167","choice168","choice169","choice170","choice171","choice172","choice173","choice174","choice175","choice176","choice177","choice178","choice179","choice180","choice181","choice182","choice183","choice184","choice185","choice186","choice187","choice188","choice189","choice190","choice191","choice192","choice193","choice194","choice195","choice196","choice197","choice198","choice199","choice200","choice201","choice202","choice203","choice204","choice205","choice206","choice207","choice208","choice209","choice210","choice211","choice212","choice213","choice214","choice215","choice216","choice217","choice218","choice219","choice220","choice221","choice222","choice223","choice224","choice225","choice226","choice227","choice228","choice229","choice230","choice231","choice232","choice233","choice234","choice235","choice236","choice237","choice238","choice239","choice240","choice241","choice242","choice243","choice244","choice245","choice246","choice247","choice248","choice249","choice250","choice251","choice252","choice253","choice254","choice255","choice256","choice257","choice258","choice259","choice260","choice261","choice262","choice263","choice264","choice265","choice266","choice267","choice268","choice269","choice270","choice271","choice272","choice273","choice274","choice275","choice276","choice277","choice278","choice279","choice280","choice281","choice282","choice283","choice284","choice285","choice286","choice287","choice288","choice289","choice290","choice291","choice292","choice293","choice294","choice295","choice296","choice297","choice298","choice299","choice300","choice301","choice302","choice303","choice304","choice305","choice306","choice307","choice308","choice309","choice310","choice311","choice312","choice313","choice314","choice315","choice316","choice317","choice318","choice319","choice320","choice321","choice322","choice323","choice324","choice325","choice326","choice327","choice328","choice329","choice330","choice331","choice332","choice333","choice334","choice335","choice336","choice337","choice338","choice339","choice340","choice341","choice342","choice343","choice344","choice345","choice346","choice347","choice348","choice349","choice350","choice351","choice352","choice353","choice354","choice355","choice356","choice357","choice358","choice359","choice360","choice361","choice362","choice363","choice364","choice365","choice366","choice367","choice368","choice369","choice370","choice371","choice372","choice373","choice374","choice375","choice376","choice377","choice378","choice379","choice380","choice381","choice382","choice383","choice384","choice385","choice386","choice387","choice388","choice389","choice390","choice391","choice392","choice393","choice394","choice395","choice396","choice397","choice398","choice399","choice400","choice401","choice402","choice403","choice404","choice405","choice406","choice407","choice408","choice409","choice410","choice411","choice412","choice413","choice414","choice415","choice416","choice417","choice418","choice419","choice420","choice421","choice422","choice423","choice424","choice425","choice426","choice427","choice428","choice429","choice430","choice431","choice432","choice433","choice434","choice435","choice436","choice437","choice438","choice439","choice440","choice441","choice442","choice443","choice444","choice445","choice446","choice447","choice448","choice449","choice450","choice451","choice452","choice453","choice454","choice455","choice456","choice457","choice458","choice459","choice460","choice461","choice462","choice463","choice464","choice465","choice466","choice467","choice468","choice469","choice470","choice471","choice472","choice473","choice474","choice475","choice476","choice477","choice478","choice479","choice480","choice481","choice482","choice483","choice484","choice485","choice486","choice487","choice488","choice489","choice490","choice491","choice492","choice493","choice494","choice495","choice496","choice497","choice498","choice499","choice500"
"1",0.83,0.498,0.55,12,20,22,19,8,0,5,0.011,1.1,0.1,TRUE,TRUE,2,1,1,3,1,3,3,2,3,2,1,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,1,3,3,3,3,3,1,1,3,1,3,3,3,3,1,1,1,3,3,1,3,1,3,1,3,3,3,1,3,3,3,3,1,1,3,2,3,3,3,3,3,3,3,1,3,3,3,3,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,1,3,3,1,3,3,2,3,3,3,1,3,3,1,3,1,3,3,3,1,1,3,1,1,3,1,3,3,2,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,1,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,1,3,3,1,2,3,1,3,3,3,3,3,3,2,1,3,3,2,1,3,2,3,3,1,3,3,3,3,1,3,1,3,3,3,3,2,3,3,3,3,3,1,2,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3,3,1,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,1,1,3,1,3,1,3,2,3,2,1,1,3,3,3,3,1,1,3,3,3,1,3,1,3,1,3,3,3,1,3,2,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,1,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,1,1,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
"2",0.83,0.498,0.98,12,20,10.16326531,19,8,0,5,0.011,1.1,0.1,TRUE,TRUE,1,3,1,3,1,3,1,3,2,3,1,1,1,3,3,1,2,3,3,3,1,1,3,1,3,2,3,3,3,1,1,2,3,2,2,3,1,3,1,1,2,1,3,3,3,3,1,2,2,1,1,3,1,1,2,1,3,1,3,2,1,2,3,1,1,1,3,3,3,3,3,3,1,1,1,3,1,3,1,3,2,2,3,1,3,3,3,3,1,3,3,1,1,3,2,1,3,1,3,1,1,1,3,2,3,3,3,1,2,3,1,2,1,1,1,3,1,1,2,1,3,2,3,3,2,3,3,1,2,1,2,1,2,3,1,2,1,1,1,1,2,2,1,3,2,2,3,2,2,1,3,1,3,3,1,1,1,3,1,2,1,3,3,3,3,1,3,1,1,1,2,1,3,2,2,1,1,2,1,1,2,3,1,3,1,1,1,3,2,3,3,1,1,3,1,2,3,1,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,2,1,1,1,3,1,2,2,1,3,1,3,3,1,2,1,3,1,3,2,1,1,2,1,3,1,1,3,1,1,3,1,3,1,1,1,1,1,1,3,3,3,1,2,3,1,1,1,3,3,3,3,1,3,3,3,1,1,3,1,2,3,3,1,1,1,3,2,1,3,1,3,3,3,2,2,1,1,3,3,2,3,3,1,2,1,3,1,3,3,3,2,3,1,1,3,1,3,1,2,3,3,1,1,1,1,3,2,3,3,3,1,2,2,3,1,3,1,3,1,3,1,3,1,3,3,1,1,3,3,1,1,3,1,2,2,1,3,2,3,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,2,1,3,3,1,3,3,3,3,1,1,1,2,2,1,1,2,1,1,3,3,3,1,2,3,3,2,3,1,1,1,3,1,2,3,1,1,1,3,2,1,1,1,2,3,3,1,1,1,3,3,1,3,1,2,2,3,3,3,3,3,1,1,2,1,1,1,3,1,1,3,2,3,3,3,1,1,2,1,3,1,3,3,1,3,3,1,1,1,1,1,1,3,3,3,3,1,3,1,1,1,2,3,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,2,2,3,1,1,1,1,2,2
"3",0.83,0.498,0.35,12,20,28.57142857,19,8,0,5,0.011,1.1,0.1,TRUE,TRUE,1,3,2,1,3,3,2,3,2,3,2,1,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,3,2,2,3,1,2,3,3,3,2,3,1,1,1,1,2,2,2,2,1,1,2,2,2,2,3,1,1,1,3,1,2,3,2,2,2,2,1,1,2,2,1,2,1,1,1,1,1,3,2,2,1,1,1,3,1,2,3,1,3,2,2,2,3,3,1,2,2,2,2,3,2,1,2,1,3,2,3,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,3,3,3,2,2,1,1,2,1,1,1,1,1,2,3,2,2,2,3,2,2,2,2,2,1,2,1,2,1,1,2,2,1,1,2,1,3,3,2,1,1,1,1,1,3,1,3,1,2,2,2,2,2,1,3,3,3,2,2,1,3,1,1,2,3,2,2,1,2,1,3,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,3,2,2,1,3,2,3,1,1,2,3,2,3,2,2,1,2,1,1,1,3,2,2,1,2,3,2,1,1,2,1,1,3,3,2,2,2,2,2,2,1,3,1,3,2,2,1,3,3,2,2,3,2,2,3,2,1,3,1,1,2,2,1,3,2,1,2,3,1,3,2,1,1,1,2,1,2,3,1,3,1,2,2,2,3,3,1,2,1,3,1,3,2,1,2,1,1,3,3,2,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,3,2,2,1,1,3,1,1,1,1,1,3,2,3,3,1,2,2,3,2,2,2,2,1,3,2,1,2,1,1,1,2,2,2,2,1,3,2,2,3,1,1,1,3,2,2,1,2,2,2,1,2,1,2,2,3,1,3,1,3,2,3,2,2,2,1,2,3,3,1,2,3,3,2,2,1,2,1,2,3,2,1,2,3,2,1,1,2,2,1,2,2,2,2,3,1,2,2,3,1,1,3,1,1,2,2,1,2,2,3,2,3,1,1,2,2,1,2,3,3,2,1,1,2,2,1,1,1,2,2,2,3,1,2,2,1,2,2,3,1,1,1,2,3,2,2
"4",0.83,0.498,0.83,12,20,12,19,8,0,5,0.011,1.1,0.1,TRUE,TRUE,3,1,1,1,1,3,3,1,3,3,2,1,3,2,2,2,3,1,3,3,2,1,2,2,1,3,1,1,1,2,1,1,3,3,1,1,3,3,2,1,3,1,1,3,1,2,3,1,3,3,1,2,3,1,2,1,1,3,2,1,3,1,1,1,1,3,3,3,1,3,3,2,1,2,3,1,1,3,2,3,2,2,1,1,1,3,3,1,1,1,2,3,1,1,1,3,1,3,2,2,3,3,3,3,2,1,3,2,1,3,2,3,3,3,3,3,1,3,3,3,2,1,1,1,1,3,3,2,1,3,1,1,3,3,2,3,3,3,3,1,3,1,1,2,1,3,3,3,1,3,3,3,1,3,3,3,1,1,1,2,3,1,1,3,2,3,2,1,1,2,1,1,1,2,2,2,1,3,3,1,3,3,1,1,3,2,3,1,3,1,3,2,1,1,2,3,1,1,2,1,1,3,3,3,3,3,3,1,3,3,2,3,3,1,3,2,3,1,1,2,3,3,3,1,1,1,1,2,3,3,1,1,3,3,3,3,2,3,1,2,2,3,1,1,1,3,1,2,2,1,1,3,3,1,1,1,3,1,3,1,2,1,2,3,1,3,1,2,3,1,1,3,1,2,1,3,1,3,3,3,3,3,3,3,3,2,1,1,3,2,1,3,1,3,1,2,3,1,3,1,3,1,1,1,2,1,3,1,1,1,3,1,3,1,3,1,1,1,3,3,1,3,3,1,3,1,3,1,1,2,3,2,3,3,1,1,3,1,3,1,1,2,1,3,2,1,3,1,1,1,3,3,2,1,2,1,1,1,1,1,2,3,3,3,2,2,3,1,3,3,1,2,1,3,3,3,3,3,3,1,3,3,1,3,3,1,2,1,3,1,3,1,2,2,3,2,3,2,1,1,1,1,1,1,2,3,1,3,1,3,3,3,1,3,3,3,3,2,2,2,3,1,2,1,1,3,3,1,3,3,2,3,1,2,3,3,1,3,3,1,1,3,2,3,3,3,1,3,2,2,3,1,2,3,3,1,2,1,3,1,3,1,1,3,3,1,2,3,2,3,1,1,1,3,1,1,3,2,3,3,3,1,2,2,1,2,1,3,3,3,3,1,3,3,1,2,1,3,2,1
"5",0.83,0.498,0.5,12,20,20,19,8,0,5,0.011,1.1,0.1,TRUE,TRUE,1,1,3,2,3,2,3,3,1,3,1,1,2,3,1,3,3,2,2,1,1,2,2,2,1,3,2,2,1,1,3,1,1,3,3,1,1,1,1,3,3,2,3,1,3,1,3,2,2,2,1,1,1,3,1,1,1,2,2,2,3,1,1,2,1,1,1,2,1,2,1,1,1,2,3,1,2,1,3,2,2,3,3,1,3,1,1,3,2,1,2,2,1,1,3,1,1,1,2,3,3,3,3,1,3,2,1,2,3,3,1,3,1,3,3,1,1,2,2,1,3,1,2,2,3,1,1,1,3,1,3,1,1,1,2,3,3,1,3,3,1,1,2,3,1,3,2,1,3,1,1,2,1,3,2,3,3,1,2,2,2,1,2,1,1,1,2,3,2,2,1,3,2,1,2,3,1,1,2,2,3,3,1,1,2,2,3,1,3,1,3,3,1,3,1,1,1,2,1,1,1,3,1,1,1,1,2,1,1,2,1,1,1,1,1,3,1,1,3,2,2,2,1,2,1,1,3,1,3,1,1,1,1,1,2,1,3,1,3,3,3,2,1,3,1,2,2,1,1,1,1,1,2,1,1,3,1,3,1,1,2,1,1,2,1,1,2,2,1,2,2,3,3,3,1,3,2,1,1,3,2,2,2,1,2,1,1,2,1,3,1,3,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,1,2,3,2,2,1,2,1,1,1,1,1,3,3,3,1,2,1,1,2,1,2,2,1,2,2,1,1,1,1,1,2,1,3,2,3,1,1,3,1,2,1,1,1,1,3,2,3,3,2,1,2,3,2,3,3,2,3,1,1,3,2,1,1,1,3,3,1,1,3,1,1,1,3,1,1,2,1,1,3,1,2,1,1,3,3,2,2,1,2,1,2,1,3,1,1,2,1,2,3,1,1,1,1,3,2,3,3,1,2,1,1,2,3,3,2,1,1,1,2,1,2,3,1,1,3,2,3,1,1,3,2,1,3,2,1,1,3,3,2,1,1,1,2,1,3,3,3,3,1,1,3,3,2,3,3,2,1,1,1,3,1,1,2,1,3,1,2,1,1,1,2,1,1,1,1,2,3,3,2,2,2,3,2,3,2,2,1,2,2,3,2,1
"6",0.83,0.664,0.83,12,15,10,19,8,0,5,0.011,1.1,0.1,TRUE,TRUE,2,1,1,1,3,2,1,3,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,3,1,3,1,1,1,1,1,2,1,3,2,1,2,1,2,1,2,1,3,1,1,2,3,1,3,1,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,1,3,1,1,1,2,1,1,2,1,1,1,1,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,1,1,3,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,3,3,1,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,3,1,1,1,2,2,1,1,3,3,1,1,1,1,3,1,1,1,1,3,3,3,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,3,1,1,2,3,2,3,1,2,1,1,1,3,1,1,1,2,2,1,1,1,1,3,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,3,1,1,2,1,2,3,1,1,1,3,3,2,1,1,2,1,3,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,1,2,1,1,3,3,1,1,1,1,1,3,1,1,1,1,1,2,1,2,1,3,1,1,1,3,1,3,1,3,1,2,2,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,3,1,1,2,1,1
"7",0.83,0.664,0.62,12,15,15,19,8,0,5,0.011,1.1,0.1,TRUE,TRUE,2,1,1,1,1,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,1,2,2,1,3,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,1,2,1,2,2,2,2,2,3,1,2,2,3,2,1,2,1,2,2,1,1,2,1,1,2,2,2,2,1,3,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,1,3,2,2,2,3,1,1,1,2,1,2,2,3,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,3,2,1,2,3,2,2,2,2,2,1,1,1,2,2,1,1,2,1,2,2,2,3,1,3,1,2,3,2,2,1,2,1,2,2,2,1,2,2,1,2,2,1,3,2,2,2,1,2,1,2,1,2,2,2,2,3,3,3,1,2,1,3,3,2,2,1,2,2,2,1,1,3,1,1,1,2,2,1,1,2,1,2,1,1,1,2,2,3,1,2,2,1,3,1,2,2,1,2,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,1,3,2,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,3,2,2,3,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,3,2,2,1,2,2,3,3,2,2,2,1,3,2,2,2,2,1,1,2,1,1,2,2,1,2,2,1,3,1,2,1,1,1,1,1,3,2,1,2,2,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,1
"8",0.83,0.664,0.78,12,15,12,19,8,0,5,0.011,1.1,0.1,TRUE,TRUE,2,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,3,1,2,2,1,1,2,2,1,1,1,1,2,3,3,1,1,1,3,1,3,2,1,2,1,1,3,1,1,1,3,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,1,3,1,1,1,1,2,1,3,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,3,2,2,1,1,1,3,1,1,1,1,1,2,1,3,1,1,2,3,2,1,1,1,1,1,2,2,1,3,1,1,2,3,2,1,3,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,3,2,1,1,2,1,3,1,2,1,1,1,2,1,1,1,2,1,1,1,1,3,3,2,3,1,1,1,2,1,1,2,1,1,1,1,3,1,1,3,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,3,1,2,1,2,1,1,1,1,1,1,2,1,3,2,1,1,1,1,2,2,1,2,1,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,3,2,1,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,3,1,3,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,1,3,1,1,1,1,1,2,2,1,2,3,1,1,2,3,1,1,2,1,1,2,2,3,3,1,1,3,1,3,1,3,1,1,3,2,1,1,1,3,2,2,1,1,1,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,2,2
"9",0.83,0.664,0.67,12,15,13,19,8,0,5,0.011,1.1,0.1,TRUE,TRUE,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,1,1,2,1,1,2,1,1,1,1,1,2,1,2,3,1,2,2,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,1,1,2,3,1,1,1,1,1,2,1,1,2,2,1,1,3,2,1,1,1,2,1,1,1,1,2,1,2,2,1,3,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,2,2,3,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,3,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,3,3,2,1,2,3,1,1,1,3,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,3,1,1,1,3,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,3,1,1,3,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,3,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,3,2,1,1,1,1,2,1,1,2,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,1,2,2,1,2,3,1,1,2,2,2,2,2,2,1,1,1,1,2,3,2,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,3,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,3,1,1,3,1,1,1,2,1,1,2,1,1,1,2,2,1
"10",0.83,0.664,0.78,12,15,10,19,8,0,5,0.011,1.1,0.1,TRUE,TRUE,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,3,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,3,1,2,1,2,1,1,3,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,3,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1
