"rows","fittime"
1,2.134
2,2.393
3,2.558
4,2.812
5,2.043
6,2.829
7,3.59
8,2.305
9,4.086
10,3.598
11,4.602
12,4.879
13,6.139
14,4.099
15,5.658
16,4.59200000000001
17,3.069
18,4.88200000000001
19,4.866
20,5.116
21,3.587
22,5.363
23,9.73099999999999
24,5.869
25,6.16199999999999
26,8.479
27,6.14500000000001
28,8.94299999999998
29,11.53
30,9.23099999999999
31,9.49200000000002
32,4.35900000000001
33,7.43699999999998
34,10.235
35,4.86000000000001
36,4.874
37,7.93699999999998
38,8.185
39,5.11799999999999
40,5.131
